probe_index,left_class_id,left_class_name,right_class_id,right_class_name,left_validation_index,right_validation_index,normalized_source_distance,alpha,predicted_class_id,predicted_class_name,normalized_predictive_entropy,mean_class_variance,max_class_variance,max_mean_confidence,endpoint_mean_entropy,endpoint_mean_variance,endpoint_mean_confidence
0,0,IDLE,1,SWIPE_LEFT,18,154,0.5032300353050232,0.5,1,SWIPE_LEFT,0.41241857409477234,0.011246918700635433,0.029358934611082077,0.7628220915794373,0.17671705782413483,0.00046257287613116205,0.9258238077163696
1,0,IDLE,1,SWIPE_LEFT,18,155,0.5194984078407288,0.5,1,SWIPE_LEFT,0.4269542992115021,0.012483475729823112,0.03158055245876312,0.6888189911842346,0.15191110968589783,0.0005010994500480592,0.9334689974784851
2,0,IDLE,1,SWIPE_LEFT,10,155,0.5770965814590454,0.5,1,SWIPE_LEFT,0.4305983781814575,0.011674760840833187,0.029751405119895935,0.6103550791740417,0.08746743202209473,0.00030504545429721475,0.9716483354568481
3,0,IDLE,1,SWIPE_LEFT,10,154,0.5809091329574585,0.5,1,SWIPE_LEFT,0.4655386507511139,0.007235181983560324,0.018037475645542145,0.639527440071106,0.11227338016033173,0.0002665188512764871,0.9640030860900879
4,0,IDLE,1,SWIPE_LEFT,18,152,0.5825637578964233,0.5,1,SWIPE_LEFT,0.20686113834381104,0.001374554936774075,0.0035955498460680246,0.9033316373825073,0.1307702213525772,0.0003825379826594144,0.9425829648971558
5,0,IDLE,2,SWIPE_RIGHT,18,173,0.8370481133460999,0.5,2,SWIPE_RIGHT,0.6496139764785767,0.0269299428910017,0.07439351081848145,0.6673922538757324,0.17311666905879974,0.0004885715316049755,0.9291657209396362
6,0,IDLE,2,SWIPE_RIGHT,18,179,0.8725376725196838,0.5,1,SWIPE_LEFT,0.09539994597434998,0.00010264675074722618,0.00033108642674051225,0.9729694128036499,0.14353373646736145,0.0003759217506740242,0.9390376806259155
7,0,IDLE,2,SWIPE_RIGHT,18,170,0.9476717114448547,0.5,2,SWIPE_RIGHT,0.5324228405952454,0.009865932166576385,0.028159404173493385,0.7579249143600464,0.15061676502227783,0.00037351466016843915,0.9354638457298279
8,0,IDLE,2,SWIPE_RIGHT,10,173,0.9534758925437927,0.5,2,SWIPE_RIGHT,0.547504723072052,0.006264013703912497,0.016630342230200768,0.7073718905448914,0.10867299139499664,0.0002925175067503005,0.9673450589179993
9,0,IDLE,2,SWIPE_RIGHT,18,160,0.9608966112136841,0.5,2,SWIPE_RIGHT,0.4148123860359192,0.000800612848252058,0.0017525282455608249,0.8317263126373291,0.1367175579071045,0.0003522990446072072,0.941169798374176
