bin_index,lower_bound,upper_bound,count,mean_confidence,accuracy,absolute_gap
0,0.0,0.1,0,0.0,0.0,0.0
1,0.1,0.2,0,0.0,0.0,0.0
2,0.2,0.30000000000000004,0,0.0,0.0,0.0
3,0.30000000000000004,0.4,0,0.0,0.0,0.0
4,0.4,0.5,0,0.0,0.0,0.0
5,0.5,0.6000000000000001,0,0.0,0.0,0.0
6,0.6000000000000001,0.7000000000000001,0,0.0,0.0,0.0
7,0.7000000000000001,0.8,2,0.7399440407752991,1.0,0.2600559592247009
8,0.8,0.9,5,0.8695968270301819,0.8,0.06959682703018188
9,0.9,1.0,193,0.9924987733672938,0.9896373056994818,0.0028614676678119233
