timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.9766,-0.0330,0.2400,0.0152,0.0679,-0.0524
3974,-0.9851,-0.0317,0.2410,0.0763,0.0221,0.0392
3984,-0.9849,-0.0322,0.2415,0.1068,0.0679,0.0698
3994,-0.9836,-0.0261,0.2339,0.0763,0.0221,0.1308
4004,-0.9800,-0.0237,0.2329,0.0305,-0.1000,0.0850
4014,-0.9822,-0.0195,0.2397,-0.0001,-0.1000,0.0545
4024,-0.9834,-0.0281,0.2344,-0.0153,-0.1458,0.0850
4034,-0.9844,-0.0220,0.2366,0.0915,-0.2069,0.1461
4044,-0.9841,-0.0242,0.2371,-0.0001,-0.0847,0.2072
4054,-0.9788,-0.0208,0.2354,0.1068,-0.1000,0.1919
4064,-0.9746,-0.0151,0.2356,0.0305,-0.1763,0.1461
4074,-0.9744,-0.0186,0.2349,0.0152,-0.1305,-0.0524
4084,-0.9810,-0.0239,0.2400,-0.0764,0.1290,-0.0829
4094,-0.9883,-0.0234,0.2363,-0.1222,0.3275,-0.1440
4104,-0.9785,-0.0222,0.2383,-0.1222,0.1443,-0.1134
4114,-0.9773,-0.0232,0.2424,0.0152,-0.0389,-0.1898
4124,-0.9783,-0.0266,0.2456,-0.0153,-0.1611,-0.1745
4134,-0.9863,-0.0281,0.2366,-0.0153,-0.1763,-0.0676
4144,-0.9836,-0.0271,0.2373,-0.0764,-0.1305,-0.0066
4154,-0.9792,-0.0244,0.2322,-0.0001,0.0069,-0.0982
4164,-0.9827,-0.0286,0.2361,-0.0153,0.0832,-0.0066
4174,-0.9807,-0.0181,0.2288,-0.0611,-0.0695,-0.0218
4184,-0.9812,-0.0278,0.2351,0.0305,-0.2985,-0.0218
4194,-0.9885,-0.0256,0.2407,-0.0153,-0.2832,0.0698
4204,-0.9858,-0.0266,0.2380,-0.0611,-0.0389,0.0850
4214,-0.9778,-0.0210,0.2356,-0.1527,-0.0389,0.0545
4224,-0.9702,-0.0232,0.2371,-0.0611,-0.0542,-0.0066
4234,-0.9790,-0.0227,0.2388,-0.0459,0.0069,-0.0982
4244,-0.9866,-0.0259,0.2375,0.0305,0.0679,-0.1440
4254,-0.9834,-0.0227,0.2356,-0.0459,0.1595,-0.1287
4264,-0.9866,-0.0225,0.2332,-0.0306,0.0985,-0.0066
4274,-0.9778,-0.0220,0.2375,0.0457,-0.1611,0.0087
4284,-0.9819,-0.0239,0.2344,0.0457,-0.2374,0.0392
4294,-0.9807,-0.0256,0.2329,0.0305,-0.1153,0.0087
4304,-0.9875,-0.0247,0.2380,0.0610,0.0069,0.0087
4314,-0.9834,-0.0264,0.2371,0.0305,-0.0237,-0.0524
4324,-0.9785,-0.0261,0.2390,-0.0306,-0.0389,0.0087
4334,-0.9783,-0.0261,0.2368,0.0915,-0.2374,0.0545
4344,-0.9800,-0.0266,0.2415,0.0763,-0.2069,0.0545
4354,-0.9895,-0.0261,0.2388,0.0152,-0.0237,0.1156
4364,-0.9797,-0.0237,0.2429,0.0152,0.0527,-0.0066
4374,-0.9768,-0.0195,0.2373,-0.0611,-0.0542,0.0240
4384,-0.9780,-0.0222,0.2336,-0.0001,-0.0237,0.0240
4394,-0.9863,-0.0266,0.2329,-0.0611,0.0832,-0.0218
4404,-0.9841,-0.0227,0.2456,-0.0459,0.0527,0.0850
4414,-0.9836,-0.0244,0.2371,-0.0917,0.1137,0.0850
4424,-0.9771,-0.0215,0.2395,-0.0153,-0.0237,-0.0066
4434,-0.9768,-0.0244,0.2373,0.0610,0.0069,-0.0371
4444,-0.9827,-0.0261,0.2351,-0.0153,-0.0237,-0.0676
4454,-0.9946,-0.0266,0.2371,-0.0153,0.1137,-0.1287
4464,-0.9856,-0.0295,0.2375,-0.1375,0.1901,-0.0066
4474,-0.9756,-0.0232,0.2334,-0.0764,-0.0084,0.0240
4484,-0.9792,-0.0208,0.2410,-0.0611,-0.2527,0.0392
4494,-0.9800,-0.0293,0.2351,0.0152,-0.3137,-0.0982
4504,-0.9858,-0.0249,0.2368,0.0610,-0.1763,0.0392
4514,-0.9800,-0.0234,0.2368,0.0610,-0.0847,0.1156
4524,-0.9771,-0.0271,0.2380,0.0763,-0.1000,0.0545
4534,-0.9829,-0.0244,0.2378,-0.0306,-0.0695,0.0240
4544,-0.9819,-0.0222,0.2380,-0.0306,-0.0542,0.0698
4554,-0.9790,-0.0227,0.2378,-0.0306,-0.0237,0.1003
4564,-0.9785,-0.0271,0.2361,0.0152,0.1137,0.1614
