timestamp_ms,ax,ay,az,gx,gy,gz
3964,1.0046,-0.0220,0.0867,0.0635,0.0601,-0.1207
3974,1.0054,-0.0227,0.0823,0.1093,0.1975,0.0320
3984,1.0100,-0.0271,0.0803,0.1093,0.4418,0.0625
3994,1.0200,-0.0273,0.0781,0.0024,0.3960,0.1236
4004,1.0049,-0.0249,0.0796,0.0330,0.1822,0.0473
4014,1.0078,-0.0259,0.0837,0.0024,-0.0010,-0.0444
4024,1.0125,-0.0227,0.0862,-0.0892,-0.1995,-0.0138
4034,1.0129,-0.0264,0.0847,-0.0892,-0.2758,0.0320
4044,1.0151,-0.0234,0.0801,-0.0281,-0.2911,-0.0596
4054,1.0120,-0.0249,0.0774,0.0482,-0.2147,-0.0902
4064,1.0063,-0.0300,0.0820,0.0788,-0.0621,-0.0138
4074,1.0171,-0.0295,0.0779,0.0635,0.0143,0.0320
4084,1.0063,-0.0303,0.0864,0.0482,-0.1537,-0.0138
4094,1.0029,-0.0305,0.0825,0.0024,-0.1079,0.0167
4104,1.0088,-0.0264,0.0869,0.0024,-0.1231,0.0320
4114,1.0122,-0.0232,0.0808,-0.0434,-0.0010,0.0473
4124,1.0171,-0.0303,0.0845,-0.0586,0.0601,-0.0749
4134,1.0093,-0.0261,0.0859,-0.0128,0.0295,-0.0291
4144,1.0059,-0.0244,0.0835,0.0482,-0.3674,-0.0138
4154,1.0100,-0.0254,0.0881,0.0024,-0.6575,-0.0138
4164,1.0107,-0.0222,0.0847,0.0635,-0.7338,0.0320
4174,1.0098,-0.0266,0.0728,0.0330,-0.5964,0.0320
4184,1.0100,-0.0247,0.0847,-0.0434,-0.0773,0.0320
4194,1.0132,-0.0269,0.0713,-0.0281,0.2433,0.1083
4204,1.0100,-0.0254,0.0771,0.0024,0.3807,0.1236
4214,1.0117,-0.0215,0.0803,-0.0739,0.5639,0.0778
4224,1.0061,-0.0283,0.0776,-0.1044,0.5028,-0.0138
4234,1.0066,-0.0259,0.0862,-0.1197,0.4265,0.0320
4244,1.0042,-0.0237,0.0830,-0.0281,0.3349,0.0473
4254,1.0125,-0.0283,0.0762,0.0177,0.1669,0.0473
4264,1.0061,-0.0261,0.0806,0.0177,0.2127,0.0015
4274,1.0173,-0.0256,0.0852,0.0330,0.1517,0.0778
4284,1.0156,-0.0261,0.0850,-0.0739,0.0753,0.0931
4294,1.0061,-0.0215,0.0774,-0.0281,-0.0315,-0.0444
4304,1.0115,-0.0244,0.0818,-0.1197,0.0753,-0.0444
4314,1.0095,-0.0222,0.0857,-0.0586,0.1364,-0.0596
4324,1.0037,-0.0220,0.0845,-0.1197,0.0906,-0.0291
4334,1.0142,-0.0232,0.0891,-0.0586,0.1211,0.0167
4344,1.0149,-0.0256,0.0842,0.0177,-0.0315,-0.0444
