timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0024,-0.9805,0.1064,-0.5008,0.4444,0.1462
3974,-0.0056,-0.9805,0.0984,-0.5466,0.3681,0.0393
3984,-0.0051,-0.9819,0.1035,-0.4855,0.3681,0.1156
3994,-0.0027,-0.9773,0.0996,-0.3176,0.2460,0.2989
4004,-0.0066,-0.9802,0.1047,-0.3023,0.2765,0.2683
4014,-0.0081,-0.9810,0.1035,-0.5466,0.2612,0.1920
4024,-0.0068,-0.9790,0.1035,-0.4397,0.0322,0.0240
4034,-0.0037,-0.9783,0.1050,-0.3939,0.0169,-0.0523
4044,-0.0105,-0.9805,0.1047,-0.5313,0.0933,0.0546
4054,-0.0085,-0.9805,0.1008,-0.4855,0.1849,0.1309
4064,-0.0039,-0.9805,0.0996,-0.4550,0.3376,0.1462
4074,-0.0125,-0.9792,0.1018,-0.5008,0.4902,0.2683
4084,-0.0071,-0.9788,0.1084,-0.4397,0.3834,0.3294
4094,-0.0073,-0.9785,0.0977,-0.5008,0.4902,0.3447
4104,-0.0100,-0.9854,0.0986,-0.4855,0.4750,0.2989
4114,-0.0078,-0.9817,0.1067,-0.4397,0.2918,0.1309
4124,-0.0051,-0.9829,0.1055,-0.4550,0.2918,0.0240
4134,-0.0066,-0.9832,0.1067,-0.5008,0.2918,0.0851
4144,-0.0066,-0.9753,0.1006,-0.4092,0.3070,0.1615
4154,-0.0049,-0.9846,0.0994,-0.4550,0.3070,0.2378
4164,-0.0071,-0.9844,0.1050,-0.3481,0.3528,0.2836
4174,-0.0032,-0.9788,0.1013,-0.3176,0.3376,0.2683
4184,-0.0071,-0.9795,0.1055,-0.3023,0.2765,0.2989
4194,-0.0066,-0.9785,0.1072,-0.4092,0.2765,0.3141
4204,-0.0061,-0.9790,0.1086,-0.3939,0.2460,0.2378
4214,-0.0076,-0.9790,0.1113,-0.3481,0.2002,0.2531
4224,-0.0068,-0.9758,0.1052,-0.4550,0.1391,0.3905
4234,-0.0042,-0.9834,0.1057,-0.6534,0.1696,0.4973
4244,-0.0051,-0.9797,0.1042,-0.5618,0.2918,0.5431
4254,-0.0049,-0.9814,0.1016,-0.4702,0.3070,0.4363
4264,-0.0061,-0.9783,0.1028,-0.4244,0.3834,0.3447
4274,-0.0056,-0.9773,0.1064,-0.5313,0.4444,0.3294
4284,-0.0100,-0.9854,0.1025,-0.6687,0.4292,0.2378
4294,-0.0068,-0.9817,0.0974,-0.6687,0.4292,0.0088
4304,-0.0046,-0.9856,0.0996,-0.5466,0.3223,-0.0828
4314,-0.0110,-0.9802,0.0996,-0.4702,0.2307,-0.0676
4324,-0.0022,-0.9771,0.0994,-0.4092,0.2765,0.0393
4334,-0.0044,-0.9763,0.0996,-0.3176,0.3223,0.1309
4344,-0.0063,-0.9817,0.1050,-0.4855,0.4292,0.0393
4354,-0.0044,-0.9790,0.0999,-0.4244,0.4139,-0.0828
4364,-0.0037,-0.9817,0.1003,-0.3328,0.3376,-0.0370
4374,-0.0073,-0.9824,0.1062,-0.3481,0.3528,-0.0065
4384,-0.0066,-0.9827,0.1072,-0.2718,0.2307,0.0698
4394,-0.0056,-0.9785,0.1038,-0.2260,0.2154,0.1156
4404,-0.0034,-0.9771,0.1106,-0.4397,0.1696,0.2378
4414,-0.0071,-0.9817,0.1011,-0.5313,0.2765,0.2378
4424,-0.0022,-0.9792,0.1062,-0.6076,0.1849,0.2225
4434,-0.0068,-0.9819,0.1069,-0.5313,0.3376,0.1920
4444,-0.0054,-0.9792,0.1055,-0.5466,0.3223,0.2225
4454,-0.0078,-0.9805,0.1023,-0.6534,0.3986,0.2225
4464,-0.0068,-0.9824,0.1086,-0.5313,0.4444,0.3141
4474,-0.0056,-0.9834,0.0977,-0.4244,0.3681,0.2531
4484,-0.0042,-0.9795,0.1021,-0.4702,0.3834,0.2073
4494,-0.0020,-0.9827,0.1008,-0.4244,0.3528,0.2836
4504,-0.0081,-0.9829,0.0977,-0.5924,0.2612,0.1920
4514,-0.0098,-0.9836,0.0945,-0.6687,0.3223,0.1462
4524,-0.0081,-0.9788,0.1050,-0.4092,0.2612,0.1615
4534,-0.0098,-0.9790,0.1067,-0.4244,0.3223,0.1462
4544,-0.0046,-0.9802,0.1006,-0.4702,0.3376,0.3141
4554,-0.0063,-0.9768,0.0986,-0.4855,0.2765,0.2989
4564,-0.0063,-0.9773,0.1013,-0.5313,0.2307,0.1462
4574,-0.0063,-0.9788,0.1089,-0.5466,0.2154,0.0240
4584,-0.0049,-0.9780,0.1018,-0.5160,0.3528,0.0546
4594,-0.0078,-0.9810,0.1108,-0.3634,0.2307,0.1462
4604,-0.0051,-0.9810,0.1108,-0.4092,0.3528,0.1156
4614,-0.0078,-0.9788,0.0991,-0.5160,0.3834,0.0546
4624,0.0010,-0.9783,0.1025,-0.4092,0.3528,0.0698
4634,-0.0063,-0.9792,0.1038,-0.5008,0.2460,0.1615
4644,-0.0061,-0.9827,0.0986,-0.6076,0.3223,0.1156
4654,-0.0044,-0.9812,0.1033,-0.5771,0.3376,0.1920
4664,-0.0051,-0.9841,0.1003,-0.4244,0.3986,0.2378
4674,-0.0076,-0.9805,0.1047,-0.2870,0.4139,0.2989
4684,-0.0010,-0.9763,0.1008,-0.1649,0.3834,0.4210
4694,-0.0039,-0.9758,0.1006,-0.3786,0.3528,0.3752
4704,-0.0066,-0.9805,0.1060,-0.4855,0.3681,0.2531
4714,-0.0066,-0.9802,0.1023,-0.5008,0.2918,0.1615
4724,-0.0051,-0.9805,0.1045,-0.4855,0.2612,0.1156
4734,-0.0061,-0.9819,0.1023,-0.3786,0.3223,0.1004
4744,-0.0059,-0.9753,0.1069,-0.2565,0.3681,0.1920
4754,-0.0098,-0.9795,0.0984,-0.5466,0.5666,0.1309
4764,-0.0054,-0.9822,0.1001,-0.5618,0.4750,0.1767
4774,-0.0078,-0.9805,0.1060,-0.5466,0.4139,0.0851
4784,-0.0068,-0.9797,0.0984,-0.4397,0.3528,0.1004
4794,-0.0051,-0.9822,0.1001,-0.4397,0.4139,0.2073
4804,-0.0046,-0.9771,0.0991,-0.4397,0.4292,0.2683
4814,-0.0044,-0.9800,0.1006,-0.4397,0.3070,0.3447
4824,-0.0020,-0.9773,0.1008,-0.4244,0.2154,0.2836
4834,-0.0039,-0.9788,0.1028,-0.5313,0.2460,0.2073
4844,-0.0076,-0.9854,0.1013,-0.4702,0.0933,0.0393
4854,-0.0107,-0.9824,0.1096,-0.3786,0.0780,-0.0828
4864,-0.0051,-0.9773,0.1021,-0.4092,0.0780,-0.0065
4874,-0.0029,-0.9788,0.1074,-0.4092,0.0780,-0.0065
4884,-0.0071,-0.9817,0.0969,-0.5160,0.2154,0.0851
4894,-0.0049,-0.9827,0.0989,-0.4397,0.2002,0.1615
4904,-0.0051,-0.9807,0.1130,-0.4397,0.2460,0.2531
4914,-0.0042,-0.9802,0.1045,-0.5160,0.2154,0.2683
4924,-0.0066,-0.9778,0.1033,-0.5008,0.2918,0.2531
4934,-0.0061,-0.9805,0.1042,-0.4550,0.3528,0.4363
4944,-0.0042,-0.9805,0.1047,-0.4092,0.4292,0.4210
4954,-0.0051,-0.9751,0.1084,-0.4092,0.3834,0.2836
4964,0.0020,-0.9763,0.1047,-0.5466,0.3834,0.1767
4974,-0.0044,-0.9814,0.1055,-0.6382,0.2765,0.1920
4984,-0.0107,-0.9827,0.0999,-0.6076,0.2612,0.2225
4994,-0.0066,-0.9822,0.1042,-0.4550,0.2002,0.1615
5004,-0.0071,-0.9790,0.0974,-0.3328,0.0780,0.2683
5014,-0.0039,-0.9788,0.0989,-0.3786,0.2307,0.2073
5024,-0.0115,-0.9802,0.0977,-0.3939,0.2154,0.2531
5034,-0.0071,-0.9824,0.1052,-0.3786,0.1696,0.2225
5044,0.0012,-0.9814,0.1016,-0.5160,0.1849,0.1615
5054,-0.0039,-0.9780,0.1050,-0.4550,0.2460,0.2073
5064,-0.0051,-0.9836,0.1062,-0.4092,0.3528,0.2073
5074,-0.0063,-0.9763,0.1077,-0.4092,0.3986,0.2531
5084,-0.0027,-0.9756,0.1045,-0.4092,0.4902,0.2531
5094,-0.0051,-0.9775,0.1084,-0.5313,0.4139,0.2531
5104,-0.0056,-0.9829,0.1006,-0.5924,0.3834,0.1462
5114,-0.0056,-0.9827,0.1091,-0.5924,0.3223,0.1156
5124,-0.0127,-0.9785,0.1042,-0.5160,0.3681,0.0088
5134,-0.0076,-0.9775,0.1033,-0.5008,0.3681,0.1615
5144,-0.0037,-0.9861,0.0981,-0.4855,0.3070,0.1004
5154,-0.0081,-0.9839,0.1028,-0.4702,0.4597,0.0240
5164,-0.0037,-0.9773,0.1003,-0.3786,0.3681,0.0088
5174,-0.0042,-0.9783,0.1079,-0.4702,0.3986,0.0393
5184,-0.0054,-0.9778,0.1047,-0.4855,0.3681,0.1615
5194,-0.0112,-0.9827,0.1062,-0.5466,0.3681,0.1767
5204,-0.0042,-0.9841,0.0999,-0.5008,0.3834,0.1767
5214,-0.0059,-0.9788,0.1016,-0.3939,0.0780,0.1004
5224,-0.0088,-0.9827,0.1086,-0.3328,0.0780,-0.0523
5234,-0.0078,-0.9788,0.1123,-0.3786,0.0627,-0.0370
5244,-0.0076,-0.9739,0.1006,-0.4397,-0.0441,0.0393
5254,-0.0037,-0.9756,0.1079,-0.4855,-0.0441,0.2225
5264,-0.0051,-0.9775,0.1055,-0.5160,-0.0441,0.1920
5274,-0.0024,-0.9790,0.1082,-0.6534,0.0169,0.1767
5284,-0.0059,-0.9822,0.0969,-0.6229,-0.0594,0.1767
5294,-0.0046,-0.9814,0.1023,-0.5924,-0.1510,0.2531
5304,-0.0071,-0.9785,0.1008,-0.5771,-0.2121,0.3599
5314,-0.0044,-0.9814,0.1011,-0.6534,-0.0289,0.3752
5324,-0.0056,-0.9829,0.1008,-0.6534,0.0627,0.3447
5334,-0.0034,-0.9858,0.0955,-0.6229,0.1391,0.2073
5344,-0.0054,-0.9797,0.1008,-0.4855,0.0933,0.1767
5354,-0.0042,-0.9795,0.0986,-0.3481,0.0780,0.2989
5364,-0.0046,-0.9812,0.1035,-0.3786,0.1696,0.3447
5374,-0.0083,-0.9814,0.1016,-0.4550,0.0627,0.3447
5384,-0.0032,-0.9824,0.0962,-0.6076,-0.0441,0.2683
5394,-0.0027,-0.9851,0.1013,-0.5618,0.0017,0.2225
5404,-0.0071,-0.9795,0.1091,-0.4702,0.1391,0.2225
5414,-0.0034,-0.9792,0.1060,-0.5160,0.1696,0.2378
5424,-0.0024,-0.9805,0.1077,-0.5924,0.2307,0.1920
5434,-0.0034,-0.9807,0.0952,-0.6229,0.2918,0.1920
5444,-0.0063,-0.9812,0.1030,-0.5313,0.3376,0.2225
5454,-0.0024,-0.9810,0.1047,-0.5008,0.3376,0.2836
5464,-0.0073,-0.9827,0.1045,-0.4702,0.2765,0.2378
5474,-0.0081,-0.9771,0.0986,-0.5466,0.3986,0.2225
5484,-0.0081,-0.9824,0.1021,-0.4092,0.3223,0.2683
5494,-0.0039,-0.9768,0.1018,-0.3481,0.1696,0.2989
5504,-0.0081,-0.9817,0.1013,-0.4092,0.2154,0.1156
5514,-0.0078,-0.9868,0.0996,-0.4855,0.1238,0.0393
5524,-0.0039,-0.9834,0.0979,-0.4702,0.1391,0.0546
5534,-0.0071,-0.9822,0.1016,-0.3939,0.0780,0.0546
