timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0046,1.0190,0.1682,0.1763,-0.3393,-0.0904
3974,-0.0046,1.0208,0.1440,0.7870,-0.1408,0.0470
3984,-0.0012,1.0237,0.1333,0.9855,-0.2935,0.1386
3994,0.0056,1.0278,0.1277,0.6802,-0.2172,0.0012
4004,0.0256,1.0259,0.1401,0.2985,-0.0950,0.0165
4014,-0.0063,1.0188,0.1379,-0.0679,0.1798,-0.1056
4024,0.0039,1.0164,0.1470,-0.0985,-0.2019,0.0012
4034,-0.0063,1.0115,0.1680,0.0847,-0.2630,-0.0751
4044,0.0010,1.0229,0.1516,0.7260,-0.4920,-0.0751
4054,-0.0054,1.0212,0.1230,0.8634,-0.1408,0.0165
4064,-0.0046,1.0264,0.1179,0.4511,-0.1256,-0.0140
4074,-0.0022,1.0200,0.1460,0.1305,-0.1714,-0.0446
4084,-0.0076,1.0212,0.1545,-0.0679,0.0118,-0.0904
4094,-0.0044,1.0151,0.1536,-0.1595,-0.0492,-0.0446
4104,-0.0042,1.0186,0.1582,0.0847,-0.3546,-0.0140
4114,-0.0015,1.0193,0.1340,0.3290,-0.3088,-0.0904
4124,-0.0034,1.0222,0.1216,0.2374,-0.2172,-0.1056
4134,-0.0049,1.0205,0.1260,-0.0374,-0.0492,-0.0446
4144,-0.0107,1.0176,0.1387,-0.3733,0.0576,-0.1667
4154,-0.0017,1.0220,0.1523,-0.3885,0.0882,-0.0446
4164,-0.0093,1.0156,0.1592,-0.2511,0.1645,-0.0904
4174,-0.0034,1.0186,0.1589,0.1000,-0.1256,0.0776
4184,-0.0010,1.0229,0.1458,0.4817,-0.2935,0.0470
4194,-0.0010,1.0217,0.1233,0.5275,-0.0950,0.0776
4204,-0.0027,1.0220,0.1323,0.1000,-0.0187,-0.0446
4214,-0.0002,1.0193,0.1318,-0.3122,0.2866,-0.1056
4224,-0.0061,1.0222,0.1467,-0.7092,0.3019,-0.1667
4234,-0.0056,1.0203,0.1567,-0.6023,0.0729,-0.1056
4244,-0.0105,1.0146,0.1699,-0.3580,-0.1714,-0.0293
4254,-0.0005,1.0193,0.1616,0.3137,-0.3851,0.0318
4264,-0.0015,1.0259,0.1389,0.7107,-0.4309,-0.0446
4274,-0.0007,1.0254,0.1177,0.6649,-0.1866,-0.0140
4284,0.0017,1.0229,0.1160,-0.0221,0.0882,0.0165
4294,-0.0073,1.0222,0.1250,-0.6786,0.4393,-0.0293
4304,-0.0066,1.0178,0.1433,-1.2435,0.4698,-0.1056
4314,-0.0090,1.0164,0.1685,-1.2740,0.2256,-0.0446
4324,-0.0081,1.0151,0.1692,-0.6939,0.1340,0.0623
4334,-0.0034,1.0188,0.1545,-0.0985,0.0118,0.2302
4344,-0.0027,1.0212,0.1370,0.3443,-0.0340,0.1692
4354,-0.0010,1.0176,0.1289,0.3901,0.0576,0.0623
4364,-0.0007,1.0212,0.1357,0.1000,0.0118,0.0012
4374,-0.0027,1.0256,0.1526,0.0084,-0.1866,0.0012
4384,-0.0090,1.0190,0.1455,0.0389,0.0882,0.0012
4394,0.0010,1.0117,0.1711,0.1458,-0.4309,-0.0598
4404,0.0042,1.0151,0.1631,0.7565,-0.3851,-0.0598
4414,-0.0037,1.0183,0.1372,1.1992,-0.2935,-0.1515
4424,0.0010,1.0227,0.1462,1.1076,-0.6141,-0.2583
4434,-0.0044,1.0244,0.1448,1.1382,-0.5683,-0.2736
4444,-0.0056,1.0300,0.1147,0.9244,-0.3088,-0.1667
4454,-0.0046,1.0288,0.1162,0.3443,-0.3546,-0.0904
4464,-0.0049,1.0227,0.1304,-0.3275,-0.1408,-0.0598
4474,-0.0076,1.0120,0.1729,-0.6176,-0.0645,-0.0293
4484,-0.0044,1.0137,0.1880,0.2221,-0.2935,-0.1209
4494,-0.0034,1.0220,0.1482,1.3061,-0.0340,-0.0904
4504,-0.0063,1.0232,0.1238,1.4435,-0.0950,-0.1515
4514,-0.0029,1.0259,0.1135,0.9855,0.0882,-0.1056
4524,-0.0093,1.0242,0.1145,0.1611,0.1187,-0.1209
4534,-0.0049,1.0256,0.1423,-0.6328,-0.0034,-0.0751
4544,-0.0093,1.0166,0.1692,-0.8618,-0.0187,0.0623
4554,-0.0049,1.0156,0.1716,-0.2664,-0.1714,0.1844
4564,-0.0020,1.0234,0.1382,0.4359,0.1340,0.1234
4574,0.0000,1.0256,0.1250,0.4511,0.0729,0.0470
4584,0.0054,1.0232,0.1362,-0.0069,-0.1561,0.0318
4594,-0.0002,1.0146,0.1663,-0.1443,-0.1714,-0.0904
4604,-0.0068,1.0210,0.1655,0.0542,-0.2019,-0.0751
4614,0.0034,1.0200,0.1509,0.3901,-0.2477,-0.0904
4624,-0.0037,1.0176,0.1296,0.5733,-0.1561,-0.0446
