timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0476,-0.0876,-0.8860,0.3757,-0.1773,-0.0106
3974,-0.0544,-0.0732,-0.8948,-0.1281,-0.1010,-0.0717
3984,-0.0298,-0.0618,-0.8918,-0.2655,0.0822,0.0810
3994,-0.0452,-0.0808,-0.9109,0.3452,0.1585,0.0963
4004,-0.0381,-0.0852,-0.9028,0.6811,0.1738,0.0199
4014,-0.0378,-0.0925,-0.8997,0.4979,0.0059,0.0199
4024,-0.0369,-0.0913,-0.8933,-0.0976,-0.0094,0.0657
4034,-0.0405,-0.0762,-0.8997,-0.8609,-0.0705,-0.0106
4044,-0.0359,-0.0759,-0.8997,-0.9067,-0.0094,-0.0259
4054,-0.0391,-0.0837,-0.8945,-0.5708,-0.0247,-0.0259
4064,-0.0391,-0.0740,-0.8818,-0.4334,0.0822,0.0657
4074,-0.0432,-0.0815,-0.8938,0.0246,0.0364,0.0657
4084,-0.0420,-0.0840,-0.8975,0.1773,0.1433,0.0810
4094,-0.0413,-0.0776,-0.8955,0.0551,0.2196,0.0963
4104,-0.0430,-0.0713,-0.8979,0.2536,0.1738,0.0810
4114,-0.0352,-0.0779,-0.8970,0.3910,0.0364,-0.0259
4124,-0.0332,-0.0894,-0.9001,0.3299,-0.0399,-0.0717
4134,-0.0388,-0.0769,-0.8962,0.0398,-0.1163,-0.0259
4144,-0.0432,-0.0798,-0.8936,-0.2350,-0.0399,-0.1022
4154,-0.0422,-0.0786,-0.8806,-0.3571,0.0059,-0.1633
4164,-0.0457,-0.0774,-0.8933,-0.2502,0.0517,-0.1022
4174,-0.0444,-0.0781,-0.8882,-0.0365,0.0364,-0.0564
4184,-0.0383,-0.0854,-0.8979,0.1925,0.0211,-0.0106
4194,-0.0415,-0.0845,-0.8997,0.1620,0.0364,0.0810
4204,-0.0310,-0.0781,-0.8958,0.0856,0.0059,0.0963
4214,-0.0374,-0.0864,-0.8972,-0.0518,0.0211,0.0352
4224,-0.0334,-0.0850,-0.8945,-0.1128,0.0211,0.0047
4234,-0.0383,-0.0815,-0.8909,-0.1434,0.0059,0.0199
4244,-0.0408,-0.0779,-0.8877,0.0704,-0.0247,-0.0259
4254,-0.0442,-0.0801,-0.8933,0.1620,-0.0247,-0.0106
4264,-0.0388,-0.0808,-0.8909,0.2078,-0.0857,0.0199
4274,-0.0361,-0.0818,-0.8999,0.2078,-0.0857,-0.0564
4284,-0.0408,-0.0811,-0.8918,0.2231,-0.1010,0.0199
4294,-0.0337,-0.0781,-0.8970,0.0551,-0.1926,0.0199
4304,-0.0386,-0.0728,-0.8982,-0.2044,-0.0552,0.0047
4314,-0.0432,-0.0835,-0.9036,-0.3876,-0.0399,-0.0259
4324,-0.0430,-0.0750,-0.9014,-0.3876,-0.0857,-0.0411
4334,-0.0435,-0.0752,-0.8833,-0.2044,-0.1315,-0.0259
4344,-0.0378,-0.0791,-0.8904,-0.0670,-0.1621,-0.0869
4354,-0.0369,-0.0823,-0.8931,0.0398,-0.1468,-0.0259
4364,-0.0183,-0.0864,-0.8721,-0.0212,-0.1163,0.0047
4374,-0.0435,-0.0815,-0.9050,0.0704,-0.1468,-0.0717
4384,-0.0352,-0.0820,-0.8838,-0.2044,-0.0247,-0.0106
4394,-0.0400,-0.0833,-0.8843,-0.1128,0.0059,0.0199
4404,-0.0420,-0.0764,-0.8855,0.0093,-0.0552,-0.0869
4414,-0.0415,-0.0789,-0.8955,0.2536,-0.1163,-0.0717
4424,-0.0444,-0.0779,-0.8933,0.3452,-0.1621,-0.0411
4434,-0.0437,-0.0762,-0.8955,0.3452,-0.1315,-0.0717
4444,-0.0420,-0.0789,-0.8933,0.2536,-0.0094,0.0199
4454,-0.0417,-0.0859,-0.9023,0.1009,0.0822,-0.0717
4464,-0.0374,-0.0752,-0.8967,-0.0518,0.1127,-0.0411
4474,-0.0442,-0.0859,-0.9016,-0.2044,0.0669,-0.0259
4484,-0.0403,-0.0750,-0.8882,-0.2960,-0.0247,-0.1022
4494,-0.0405,-0.0706,-0.8894,-0.2044,-0.0857,-0.0106
4504,-0.0305,-0.0901,-0.8989,0.1315,-0.0247,-0.0259
4514,-0.0356,-0.0955,-0.9021,0.1315,-0.1163,-0.0717
