timestamp_ms,ax,ay,az,gx,gy,gz
3964,0.0530,-0.0071,1.1238,0.0737,-0.0647,-0.1224
3974,0.0554,-0.0071,1.1226,0.0584,-0.1411,-0.0156
3984,0.0620,-0.0093,1.1179,0.1042,-0.0953,0.0913
3994,0.0630,-0.0066,1.1213,0.0431,-0.0800,-0.0003
4004,0.0688,-0.0105,1.1201,-0.0027,0.0116,0.1066
4014,0.0676,-0.0098,1.1167,-0.0332,0.0116,0.1066
4024,0.0647,-0.0117,1.1235,-0.0485,0.0574,0.0302
4034,0.0588,-0.0129,1.1238,-0.1095,0.0269,-0.0308
4044,0.0581,-0.0127,1.1218,-0.0637,0.1032,-0.0156
4054,0.0552,-0.0159,1.1306,-0.0332,0.1948,-0.0156
4064,0.0554,-0.0137,1.1289,-0.0332,0.1490,-0.0614
4074,0.0527,-0.0142,1.1382,-0.0179,0.1185,0.1218
4084,0.0532,-0.0217,1.1328,0.0279,-0.0647,0.0760
4094,0.0630,-0.0229,1.1252,0.0431,-0.0342,0.1524
4104,0.0591,-0.0127,1.1287,-0.0027,-0.0647,0.0760
4114,0.0576,-0.0149,1.1228,0.1347,0.0727,0.0150
4124,0.0596,-0.0105,1.1313,0.0431,-0.0189,0.0455
4134,0.0581,-0.0071,1.1328,0.0279,-0.0800,0.0455
4144,0.0586,-0.0095,1.1165,0.0584,-0.0342,-0.0614
4154,0.0601,-0.0063,1.1167,0.0279,-0.0495,0.0302
4164,0.0623,-0.0100,1.1218,0.0737,-0.0189,0.0913
4174,0.0630,-0.0085,1.1265,0.0431,-0.0342,0.0760
4184,0.0635,-0.0051,1.1177,-0.0332,0.0269,0.0455
4194,0.0649,-0.0088,1.1128,-0.0790,0.0727,0.0302
4204,0.0684,-0.0115,1.1204,-0.0943,0.0421,0.0302
4214,0.0632,-0.0161,1.1265,-0.0332,0.0727,-0.0003
4224,0.0576,-0.0110,1.1257,-0.0637,0.0421,0.0760
4234,0.0557,-0.0168,1.1277,-0.0179,0.0421,-0.0308
4244,0.0540,-0.0188,1.1223,-0.0332,-0.0189,-0.0461
4254,0.0554,-0.0203,1.1316,0.1042,0.0574,0.0608
4264,0.0579,-0.0159,1.1245,0.1195,0.0269,0.0455
4274,0.0574,-0.0203,1.1301,0.1195,-0.0342,-0.0003
4284,0.0618,-0.0154,1.1277,0.0431,-0.0800,-0.0156
4294,0.0566,-0.0120,1.1199,0.0737,-0.0647,0.0608
4304,0.0601,-0.0125,1.1262,0.0126,-0.0037,0.0150
4314,0.0552,-0.0100,1.1206,0.0431,-0.0647,-0.0461
4324,0.0537,-0.0083,1.1221,0.0737,-0.0800,0.0608
4334,0.0591,-0.0081,1.1179,0.0431,-0.0495,-0.0003
4344,0.0591,-0.0085,1.1262,0.0431,-0.1258,0.0760
4354,0.0625,-0.0088,1.1299,0.0431,-0.0800,0.0760
4364,0.0618,-0.0127,1.1260,-0.0943,-0.0037,0.0608
4374,0.0603,-0.0156,1.1187,-0.1248,0.0879,0.0150
4384,0.0576,-0.0117,1.1182,-0.1095,0.1032,-0.0461
4394,0.0581,-0.0149,1.1267,-0.1401,0.0421,0.0302
4404,0.0540,-0.0178,1.1238,-0.1248,-0.0037,-0.0308
4414,0.0549,-0.0154,1.1279,-0.0943,-0.0037,-0.0766
4424,0.0596,-0.0161,1.1221,-0.0637,0.0421,0.0150
4434,0.0557,-0.0166,1.1265,0.0889,-0.0037,0.0150
4444,0.0586,-0.0188,1.1270,0.0737,-0.0037,0.0302
4454,0.0601,-0.0127,1.1243,0.0737,0.0116,-0.0003
4464,0.0562,-0.0144,1.1287,0.0737,-0.0342,0.0150
4474,0.0564,-0.0100,1.1223,0.0737,0.0269,-0.0308
4484,0.0552,-0.0120,1.1279,0.0737,0.0421,0.0455
4494,0.0566,-0.0100,1.1262,0.0737,0.0269,-0.0156
4504,0.0591,-0.0090,1.1226,0.0279,-0.0189,0.0760
4514,0.0601,-0.0105,1.1233,0.0126,-0.0037,0.0455
4524,0.0596,-0.0110,1.1211,0.0126,0.0574,-0.0003
4534,0.0603,-0.0154,1.1191,-0.0027,0.0879,-0.0156
4544,0.0569,-0.0173,1.1221,0.0431,0.0116,0.0608
4554,0.0557,-0.0132,1.1206,-0.0179,0.0269,0.0913
4564,0.0586,-0.0076,1.1201,-0.0332,-0.0342,0.0913
4574,0.0559,-0.0154,1.1204,-0.0332,0.0269,0.0760
4584,0.0603,-0.0134,1.1223,-0.0332,0.0269,0.0302
4594,0.0557,-0.0159,1.1270,-0.0485,0.0269,0.0150
4604,0.0576,-0.0168,1.1250,-0.0027,-0.0037,-0.0156
4614,0.0583,-0.0166,1.1169,-0.0027,0.0116,-0.0461
4624,0.0569,-0.0154,1.1230,-0.0027,0.0879,-0.1224
4634,0.0583,-0.0107,1.1216,0.0431,0.0421,-0.0308
4644,0.0530,-0.0137,1.1179,0.0584,0.0116,-0.0156
4654,0.0571,-0.0115,1.1233,0.0431,-0.0189,0.0760
4664,0.0574,-0.0095,1.1248,0.0737,0.0421,-0.0156
4674,0.0598,-0.0098,1.1169,0.0431,-0.0189,-0.0003
4684,0.0627,-0.0081,1.1270,0.0126,-0.0495,0.0760
4694,0.0627,-0.0129,1.1221,0.0126,-0.0189,-0.0156
4704,0.0569,-0.0132,1.1252,0.0279,-0.0189,-0.0614
4714,0.0515,-0.0125,1.1230,-0.0943,0.0727,-0.1377
4724,0.0591,-0.0144,1.1204,-0.0943,0.0879,-0.0919
4734,0.0547,-0.0125,1.1267,-0.0790,0.0879,-0.0766
4744,0.0566,-0.0115,1.1226,-0.0332,0.0727,0.0455
4754,0.0564,-0.0105,1.1252,0.0431,0.0269,0.0608
4764,0.0569,-0.0144,1.1235,-0.0027,-0.0342,-0.0003
4774,0.0593,-0.0139,1.1226,0.0737,-0.0495,-0.0919
4784,0.0586,-0.0149,1.1216,0.0126,-0.0037,-0.0003
4794,0.0583,-0.0151,1.1277,-0.0179,0.0116,-0.0308
4804,0.0579,-0.0098,1.1240,0.0737,-0.0495,-0.0156
4814,0.0562,-0.0151,1.1221,0.0431,-0.0647,-0.0614
4824,0.0554,-0.0063,1.1221,0.0279,-0.0647,-0.0308
4834,0.0581,-0.0139,1.1208,0.0126,-0.0342,0.0455
4844,0.0579,-0.0100,1.1187,-0.0790,-0.0495,0.0760
4854,0.0579,-0.0129,1.1204,-0.0943,-0.0037,0.0302
4864,0.0571,-0.0112,1.1248,-0.0637,0.0269,-0.0003
4874,0.0579,-0.0110,1.1128,-0.0790,-0.0647,-0.0308
4884,0.0569,-0.0127,1.1248,-0.0027,-0.0647,0.0150
