timestamp_ms,ax,ay,az,gx,gy,gz
3964,-1.0126,0.0116,0.0235,-0.0409,-0.1120,0.0071
3974,-1.0077,0.0094,0.0295,0.0507,-0.1425,-0.0692
3984,-1.0064,0.0119,0.0302,0.0507,-0.0509,-0.0540
3994,-1.0042,0.0107,0.0276,0.0354,0.0254,-0.0845
4004,-1.0094,0.0090,0.0307,-0.1173,-0.0356,-0.0387
4014,-1.0101,0.0087,0.0285,-0.0867,-0.0051,0.0071
4024,-1.0089,0.0092,0.0285,0.0202,0.0254,0.0071
4034,-1.0084,0.0121,0.0297,-0.0256,-0.0356,0.0682
4044,-1.0091,0.0090,0.0305,0.0965,0.0254,0.0834
4054,-1.0064,0.0119,0.0280,-0.0256,0.1018,0.0682
4064,-1.0084,0.0092,0.0293,-0.0256,0.1323,0.0682
4074,-1.0035,0.0094,0.0293,-0.0409,0.0865,0.0071
4084,-1.0062,0.0104,0.0285,-0.1478,0.0560,0.1445
4094,-1.0074,0.0097,0.0288,-0.0409,0.1018,-0.0540
4104,-1.0089,0.0099,0.0230,-0.0104,0.1323,0.0224
4114,-1.0082,0.0141,0.0295,-0.0409,0.1628,-0.1150
4124,-1.0113,0.0114,0.0300,-0.0409,0.0407,-0.0540
4134,-1.0118,0.0119,0.0235,-0.0409,0.0560,-0.0234
4144,-1.0082,0.0141,0.0285,-0.0104,0.0102,-0.0082
4154,-1.0064,0.0090,0.0222,-0.0562,-0.0051,-0.0692
4164,-1.0077,0.0129,0.0259,-0.0409,-0.0051,0.0376
4174,-1.0113,0.0065,0.0235,-0.0104,0.0560,-0.0692
4184,-1.0116,0.0055,0.0297,-0.0104,-0.0509,-0.0387
4194,-1.0050,0.0077,0.0276,0.0812,0.0254,0.0071
4204,-1.0084,0.0107,0.0290,0.0660,0.0712,-0.0387
4214,-1.0084,0.0138,0.0324,0.1118,-0.0204,0.0224
4224,-1.0106,0.0134,0.0297,0.1270,0.0407,0.0224
4234,-1.0116,0.0134,0.0264,0.0965,0.0407,0.0834
4244,-1.0133,0.0102,0.0331,0.0507,0.0560,0.0987
4254,-1.0096,0.0138,0.0239,-0.0104,0.0560,0.0834
4264,-1.0064,0.0092,0.0213,-0.0256,0.1018,0.0071
4274,-1.0126,0.0104,0.0261,-0.0409,0.1323,-0.0234
4284,-1.0116,0.0121,0.0326,0.0049,0.0712,0.0376
4294,-1.0067,0.0116,0.0264,-0.0104,0.0254,-0.0692
4304,-1.0084,0.0082,0.0290,0.0049,-0.0509,0.0224
4314,-1.0064,0.0073,0.0283,0.0812,-0.0356,0.0071
