timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0564,-0.0095,1.0166,0.1238,-0.1096,-0.1399
3974,-0.0581,-0.0090,1.0151,0.0169,-0.1707,0.0280
3984,-0.0520,-0.0088,1.0117,-0.0441,-0.1249,0.0738
3994,-0.0471,-0.0051,1.0127,-0.0594,-0.0944,0.1502
4004,-0.0447,-0.0061,1.0122,-0.0289,-0.0485,0.1196
4014,-0.0447,-0.0054,1.0120,-0.0594,0.0278,0.0280
4024,-0.0403,-0.0117,1.0183,-0.0747,0.1194,0.0280
4034,-0.0525,-0.0129,1.0127,-0.1052,0.2110,0.0280
4044,-0.0591,-0.0154,1.0183,-0.1357,0.2415,0.0585
4054,-0.0601,-0.0144,1.0232,-0.1663,0.2110,-0.0331
4064,-0.0693,-0.0127,1.0205,-0.1205,0.1957,0.0127
4074,-0.0618,-0.0178,1.0181,-0.1205,0.1194,0.1196
4084,-0.0671,-0.0198,1.0205,-0.0136,0.0889,0.0891
4094,-0.0623,-0.0151,1.0186,0.0780,0.0431,0.0891
4104,-0.0598,-0.0103,1.0151,0.1238,-0.0944,0.0280
4114,-0.0618,-0.0161,1.0164,0.1085,-0.0944,-0.0331
4124,-0.0598,-0.0110,1.0103,0.1391,-0.1402,-0.0331
4134,-0.0588,-0.0073,1.0100,0.0322,-0.1096,-0.0025
4144,-0.0515,-0.0039,1.0098,0.0322,-0.0791,0.0738
4154,-0.0486,-0.0044,1.0081,0.0475,-0.1096,0.0280
4164,-0.0449,-0.0073,1.0071,-0.0747,0.0125,0.1196
4174,-0.0454,-0.0044,1.0110,-0.1357,-0.0180,0.1044
4184,-0.0442,-0.0083,1.0142,-0.0594,0.1041,0.0585
4194,-0.0469,-0.0103,1.0151,-0.1205,0.2110,0.0433
4204,-0.0540,-0.0103,1.0210,-0.1205,0.2568,-0.0789
4214,-0.0566,-0.0142,1.0161,-0.1052,0.1805,-0.0025
4224,-0.0613,-0.0171,1.0217,-0.1205,0.2415,-0.0025
4234,-0.0615,-0.0117,1.0222,-0.0441,0.0736,0.0280
4244,-0.0620,-0.0171,1.0215,-0.0136,0.1347,0.0433
4254,-0.0645,-0.0132,1.0164,0.0933,0.0431,0.0280
4264,-0.0637,-0.0112,1.0178,0.0017,-0.0333,-0.0025
4274,-0.0645,-0.0093,1.0134,0.1391,-0.0791,0.0585
4284,-0.0569,-0.0059,1.0171,0.1544,-0.1402,-0.0178
4294,-0.0559,-0.0103,1.0146,0.0933,-0.1860,-0.0483
4304,-0.0537,-0.0037,1.0164,0.0169,-0.1096,-0.0636
4314,-0.0542,-0.0107,1.0115,-0.0289,-0.1096,-0.0178
4324,-0.0500,-0.0103,1.0120,-0.0441,-0.0638,-0.0789
4334,-0.0532,-0.0110,1.0168,-0.0289,-0.0027,-0.0178
4344,-0.0505,-0.0071,1.0173,-0.0747,-0.0027,-0.0331
4354,-0.0505,-0.0105,1.0137,-0.1052,0.0278,-0.0178
4364,-0.0540,-0.0154,1.0178,-0.0747,-0.0027,0.0585
4374,-0.0579,-0.0151,1.0195,-0.0899,0.1347,-0.0636
4384,-0.0537,-0.0139,1.0166,-0.0289,0.1194,-0.1399
4394,-0.0586,-0.0168,1.0134,-0.0289,0.0736,-0.0483
4404,-0.0635,-0.0125,1.0203,0.0017,0.0583,-0.0178
4414,-0.0601,-0.0183,1.0183,-0.0136,0.0431,-0.0025
4424,-0.0627,-0.0166,1.0198,0.0322,-0.0180,-0.0178
4434,-0.0610,-0.0139,1.0168,0.0627,-0.0333,0.0738
4444,-0.0581,-0.0146,1.0139,0.0169,-0.1860,0.0433
4454,-0.0564,-0.0137,1.0137,0.0475,-0.0944,0.0433
4464,-0.0562,-0.0137,1.0146,0.1085,-0.0944,-0.0331
4474,-0.0515,-0.0117,1.0173,0.0933,-0.0027,-0.1094
4484,-0.0576,-0.0056,1.0115,0.0169,-0.0791,-0.0331
4494,-0.0518,-0.0010,1.0034,0.0322,-0.0027,-0.2010
4504,-0.0688,-0.0081,1.0220,-0.1510,-0.1249,-0.4300
4514,-0.0876,-0.0125,1.0300,-0.0594,-0.2470,-0.3231
4524,-0.0706,-0.0137,0.9963,0.0780,-0.2623,-0.0331
4534,-0.0518,-0.0090,1.0071,-0.0289,-0.1249,0.2570
4544,-0.0325,-0.0071,1.0178,-0.1510,-0.1096,0.2723
4554,-0.0327,-0.0154,1.0266,-0.0899,-0.0791,0.1349
4564,-0.0391,-0.0107,1.0010,0.0322,-0.1096,-0.0941
4574,-0.0537,-0.0090,0.9993,-0.0594,-0.0027,-0.2468
4584,-0.0620,-0.0144,1.0190,-0.1357,0.1194,-0.3537
4594,-0.0713,-0.0156,1.0254,-0.1205,0.0431,-0.2163
4604,-0.0701,-0.0168,1.0178,0.0475,0.0278,-0.0178
4614,-0.0605,-0.0125,0.9993,0.1544,0.0583,0.0127
4624,-0.0544,-0.0154,1.0151,0.0169,0.0889,0.0891
4634,-0.0481,-0.0159,1.0193,0.0017,-0.0638,0.0280
4644,-0.0459,-0.0159,1.0171,0.0933,-0.0027,-0.0025
4654,-0.0586,-0.0105,1.0115,0.1238,-0.0791,-0.0789
4664,-0.0698,-0.0071,1.0095,0.1085,-0.0791,-0.0331
4674,-0.0605,-0.0105,1.0193,0.0475,-0.0485,-0.0178
4684,-0.0569,-0.0054,1.0139,0.0627,-0.0333,0.0433
4694,-0.0493,-0.0046,1.0112,0.0475,-0.0180,0.1044
4704,-0.0464,-0.0105,1.0100,0.0017,0.0583,0.0585
4714,-0.0476,-0.0132,1.0195,-0.0899,-0.0027,0.0433
4724,-0.0498,-0.0127,1.0120,-0.1052,0.0736,-0.1094
4734,-0.0542,-0.0132,1.0154,-0.0594,0.1041,-0.1247
4744,-0.0640,-0.0142,1.0093,-0.0747,0.1041,-0.0483
4754,-0.0645,-0.0186,1.0188,-0.0441,0.1041,-0.0483
4764,-0.0618,-0.0181,1.0186,0.0780,0.1041,0.0280
4774,-0.0601,-0.0117,1.0098,0.0627,-0.0180,0.0585
4784,-0.0593,-0.0117,1.0115,0.0322,-0.0027,0.0585
4794,-0.0540,-0.0117,1.0144,0.0322,-0.0485,0.0280
4804,-0.0544,-0.0134,1.0120,0.1391,-0.0638,0.0127
4814,-0.0540,-0.0071,1.0139,0.0933,0.0278,-0.0025
4824,-0.0535,-0.0071,1.0105,0.0322,-0.0638,-0.0025
4834,-0.0586,-0.0078,1.0146,0.0169,-0.0333,-0.0025
4844,-0.0579,-0.0054,1.0054,0.0169,-0.1096,-0.0636
4854,-0.0603,-0.0061,1.0139,-0.0747,-0.0333,-0.0483
4864,-0.0566,-0.0085,1.0093,-0.0441,-0.0027,-0.0789
