timestamp_ms,ax,ay,az,gx,gy,gz
3964,-1.0042,0.0112,0.0293,0.0015,-0.0635,0.0140
3974,-1.0074,0.0085,0.0264,-0.0595,0.0281,0.0292
3984,-1.0109,0.0063,0.0268,-0.0748,0.0281,0.0292
3994,-1.0077,0.0085,0.0285,-0.0137,0.0281,-0.0776
4004,-1.0096,0.0021,0.0235,0.0168,-0.0788,-0.0013
4014,-1.0094,0.0104,0.0266,0.0779,-0.0635,0.0140
4024,-1.0069,0.0082,0.0314,0.0779,0.0434,-0.0013
4034,-1.0128,0.0121,0.0225,0.0473,0.0281,0.0750
4044,-1.0086,0.0102,0.0244,-0.0137,0.0892,-0.0318
4054,-1.0113,0.0102,0.0297,-0.0137,0.0128,-0.0471
4064,-1.0082,0.0104,0.0268,-0.0748,-0.0177,-0.0624
4074,-1.0096,0.0038,0.0264,0.0168,-0.0940,-0.0929
4084,-1.0074,0.0019,0.0264,0.0015,-0.0482,-0.1540
4094,-1.0077,0.0033,0.0256,-0.0137,0.0128,-0.0471
4104,-1.0077,0.0092,0.0283,-0.0290,0.0434,-0.0013
4114,-1.0126,0.0099,0.0334,0.0321,0.0586,-0.0013
4124,-1.0072,0.0107,0.0271,0.0168,-0.0177,-0.0013
4134,-1.0018,0.0041,0.0300,-0.0290,0.0128,-0.0013
4144,-1.0086,0.0063,0.0244,0.0168,0.0586,0.0140
4154,-1.0113,0.0080,0.0232,-0.0290,0.0586,-0.0471
4164,-1.0082,0.0058,0.0254,0.0168,0.1044,0.0292
4174,-1.0077,0.0070,0.0268,0.0931,0.0586,0.0140
4184,-1.0062,0.0099,0.0249,0.0321,0.0434,0.0140
4194,-1.0077,0.0134,0.0251,0.0626,0.0586,0.0140
4204,-1.0082,0.0092,0.0271,0.0626,0.0434,0.0750
4214,-1.0082,0.0131,0.0266,0.0168,0.0892,0.1208
4224,-1.0101,0.0090,0.0280,-0.0290,0.0434,0.0140
4234,-1.0069,0.0055,0.0271,0.0473,-0.0482,-0.0624
4244,-1.0086,0.0077,0.0314,0.0473,-0.0788,-0.0471
4254,-1.0089,0.0104,0.0293,-0.0290,-0.0635,-0.0166
4264,-1.0074,0.0075,0.0227,-0.0290,-0.0482,-0.0013
4274,-1.0084,0.0077,0.0264,0.0015,-0.0635,0.0140
