timestamp_ms,ax,ay,az,gx,gy,gz
3964,0.9981,0.0102,-0.0177,-0.0227,0.0342,-0.0589
3974,0.9981,0.0136,-0.0094,0.0536,-0.0116,-0.0895
3984,1.0044,0.0107,-0.0131,0.0994,0.0342,0.0174
3994,1.0025,0.0080,-0.0136,0.0231,0.0189,0.0632
4004,0.9963,0.0141,-0.0143,0.0078,0.1258,0.1701
4014,1.0017,0.0119,-0.0133,-0.0227,0.0495,0.0021
4024,1.0008,0.0099,-0.0131,0.0994,0.0342,-0.0284
4034,1.0000,0.0077,-0.0169,0.0841,0.0647,-0.0131
4044,1.0022,0.0080,-0.0131,-0.0685,0.0037,0.0021
4054,1.0008,0.0112,-0.0087,-0.0075,-0.0116,0.0785
4064,1.0037,0.0087,-0.0136,0.0078,0.0647,0.0632
4074,0.9966,0.0051,-0.0114,-0.0533,0.0495,-0.0589
4084,1.0020,0.0077,-0.0177,-0.0533,-0.0116,-0.0131
4094,0.9990,0.0099,-0.0133,0.0078,0.0189,-0.0437
4104,1.0017,0.0099,-0.0194,0.0383,-0.0574,-0.0131
4114,1.0022,0.0085,-0.0203,0.0231,0.0189,-0.0131
4124,0.9995,0.0090,-0.0102,0.0231,-0.0421,-0.0131
4134,1.0035,0.0124,-0.0186,-0.0075,-0.0116,-0.0131
4144,1.0017,0.0141,-0.0056,-0.0533,0.0189,-0.0131
4154,0.9959,0.0121,-0.0136,-0.0380,-0.0421,0.0937
4164,0.9995,0.0104,-0.0194,-0.0227,-0.0116,-0.0284
4174,1.0008,0.0092,-0.0196,-0.0075,-0.0421,-0.0131
4184,1.0015,0.0085,-0.0109,0.0231,0.0495,0.0479
4194,1.0052,0.0104,-0.0123,0.0078,-0.0421,0.1090
4204,1.0042,0.0107,-0.0143,0.0383,0.0037,0.0785
4214,1.0017,0.0092,-0.0145,0.0078,0.0037,0.0785
4224,1.0005,0.0068,-0.0138,0.0231,-0.0574,0.1090
4234,1.0086,0.0075,-0.0102,-0.0075,-0.0574,0.1243
4244,1.0035,0.0077,-0.0172,0.0231,-0.0727,0.1090
4254,1.0020,0.0090,-0.0090,0.0994,-0.0421,0.0327
4264,0.9946,0.0116,-0.0136,0.0383,-0.0574,-0.0284
4274,0.9973,0.0116,-0.0136,-0.0075,-0.0574,-0.0131
4284,1.0027,0.0092,-0.0094,-0.0227,-0.0727,0.0021
4294,0.9990,0.0116,-0.0075,-0.0533,-0.0574,-0.0284
4304,1.0054,0.0119,-0.0152,-0.0533,0.0037,-0.0742
4314,1.0020,0.0107,-0.0111,-0.0227,-0.0879,0.0479
4324,0.9995,0.0080,-0.0150,-0.0533,-0.0727,0.0174
4334,1.0022,0.0143,-0.0092,-0.0685,-0.0421,-0.0589
4344,0.9990,0.0155,-0.0162,-0.0380,-0.0421,-0.0131
4354,1.0010,0.0092,-0.0138,-0.0075,-0.0574,0.0937
4364,1.0020,0.0121,-0.0082,-0.0380,0.0037,-0.0131
4374,1.0025,0.0124,-0.0090,-0.0227,-0.0269,0.0327
4384,1.0013,0.0094,-0.0155,-0.0227,0.0189,0.0327
4394,1.0037,0.0119,-0.0119,0.0231,-0.1032,0.0479
4404,1.0027,0.0099,-0.0138,-0.0685,-0.0727,0.0174
4414,1.0022,0.0065,-0.0082,-0.0075,-0.0727,0.0327
4424,1.0000,0.0085,-0.0203,0.0383,-0.0574,-0.0589
4434,1.0049,0.0107,-0.0126,0.0536,-0.0269,-0.0742
