timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0475,-0.9994,0.0208,0.0399,0.0966,-0.4973
3974,-0.0406,-1.0008,0.0215,-0.0059,0.0660,-0.4362
3984,-0.0421,-0.9959,0.0164,-0.0211,0.0508,-0.4515
3994,-0.0433,-0.9928,0.0203,-0.0211,0.0050,-0.3904
4004,-0.0384,-0.9977,0.0276,-0.0517,-0.0256,-0.1614
4014,-0.0359,-0.9952,0.0273,-0.1433,-0.0561,-0.1156
4024,-0.0362,-0.9977,0.0213,-0.1433,-0.0866,0.0066
4034,-0.0413,-1.0057,0.0201,-0.0669,-0.1019,0.1440
4044,-0.0355,-1.0038,0.0239,-0.0364,-0.0408,0.0829
4054,-0.0372,-0.9974,0.0191,0.0399,0.0508,0.0829
4064,-0.0389,-0.9967,0.0244,0.0857,0.0355,0.1134
4074,-0.0426,-1.0033,0.0138,0.1315,-0.0256,0.0676
4084,-0.0477,-0.9986,0.0186,0.1926,0.1118,-0.0392
4094,-0.0443,-1.0003,0.0169,0.2079,0.0202,0.0524
4104,-0.0460,-0.9955,0.0222,0.1163,-0.0256,0.2203
4114,-0.0477,-1.0057,0.0150,0.0705,0.0660,0.3882
4124,-0.0470,-1.0001,0.0198,0.1621,-0.0256,0.2966
4134,-0.0480,-0.9994,0.0186,0.1926,0.0202,0.0676
4144,-0.0438,-1.0018,0.0210,0.1468,-0.0408,-0.1156
4154,-0.0443,-1.0018,0.0189,0.1163,0.0050,-0.3751
4164,-0.0379,-0.9955,0.0218,0.1163,0.0202,-0.4667
4174,-0.0384,-0.9986,0.0210,0.1163,0.1118,-0.3751
4184,-0.0409,-0.9996,0.0162,0.1621,0.0660,-0.2072
4194,-0.0396,-0.9977,0.0235,0.0857,0.0355,-0.0240
4204,-0.0406,-0.9979,0.0203,0.0705,0.0050,-0.1919
4214,-0.0411,-0.9959,0.0218,0.0552,-0.0256,-0.4362
4224,-0.0421,-1.0001,0.0242,-0.0517,-0.0256,-0.6347
4234,-0.0347,-0.9947,0.0249,-0.0669,-0.0408,-0.6347
4244,-0.0409,-0.9994,0.0181,-0.0822,0.0050,-0.4209
4254,-0.0475,-0.9991,0.0184,-0.0059,-0.0103,-0.1461
4264,-0.0416,-0.9994,0.0235,-0.1280,-0.0714,0.0371
4274,-0.0428,-0.9986,0.0193,-0.0517,-0.0714,0.1898
4284,-0.0396,-0.9979,0.0203,-0.0364,-0.0103,0.1898
4294,-0.0413,-0.9977,0.0205,0.0094,0.0050,0.2661
4304,-0.0436,-0.9942,0.0157,0.0094,0.0050,0.4035
4314,-0.0352,-0.9759,0.0220,-0.0364,0.0050,0.8005
4324,-0.0472,-0.9908,0.0232,0.0094,0.0813,0.9226
4334,-0.0482,-1.0077,0.0205,0.0552,0.0966,0.3424
4344,-0.0443,-0.9935,0.0278,0.0705,0.0050,-0.1308
4354,-0.0440,-0.9935,0.0198,0.0399,0.0202,-0.1919
4364,-0.0445,-0.9996,0.0191,0.0399,0.0660,-0.2072
4374,-0.0440,-0.9996,0.0237,0.0094,-0.0256,-0.1766
4384,-0.0458,-0.9962,0.0191,-0.0059,0.0660,-0.1156
4394,-0.0453,-0.9984,0.0176,0.0399,0.0355,0.1134
4404,-0.0467,-0.9984,0.0232,0.0247,0.0508,0.1745
4414,-0.0443,-1.0001,0.0201,0.0399,-0.0256,0.2050
4424,-0.0426,-0.9984,0.0157,-0.0517,0.0355,0.0676
4434,-0.0399,-1.0013,0.0198,-0.0822,-0.0256,-0.0850
4444,-0.0411,-0.9950,0.0176,0.0094,-0.0561,0.0218
4454,-0.0416,-0.9994,0.0227,0.0247,-0.0408,-0.0698
4464,-0.0421,-0.9957,0.0227,-0.0211,0.0050,-0.0240
4474,-0.0480,-0.9996,0.0242,0.0399,-0.0103,0.0218
4484,-0.0433,-0.9986,0.0271,0.0094,0.0050,-0.0087
4494,-0.0413,-0.9991,0.0218,-0.0059,-0.0256,-0.0545
4504,-0.0416,-0.9991,0.0205,-0.0517,0.0202,-0.1614
4514,-0.0443,-0.9977,0.0160,-0.1127,-0.0408,-0.1156
4524,-0.0455,-0.9942,0.0201,-0.1280,-0.0866,-0.0087
4534,-0.0433,-1.0020,0.0167,-0.1127,-0.0408,0.0371
4544,-0.0440,-0.9979,0.0186,-0.0669,-0.0561,0.0524
4554,-0.0448,-0.9984,0.0220,-0.0822,-0.0408,-0.0087
4564,-0.0438,-0.9977,0.0205,-0.1127,-0.0103,-0.0850
4574,-0.0450,-0.9967,0.0176,-0.0517,0.0202,-0.0850
4584,-0.0445,-0.9967,0.0145,-0.0059,-0.0408,-0.0087
4594,-0.0423,-1.0016,0.0172,-0.0211,-0.0561,0.0524
4604,-0.0467,-0.9962,0.0143,-0.0059,-0.0408,0.0676
4614,-0.0399,-0.9986,0.0133,0.0705,-0.0256,0.1287
4624,-0.0448,-0.9984,0.0191,0.0399,-0.1782,0.0829
4634,-0.0433,-0.9986,0.0222,0.0094,-0.0714,-0.0392
4644,-0.0399,-0.9959,0.0198,-0.0517,-0.0256,-0.0850
4654,-0.0386,-0.9967,0.0176,0.0094,-0.0103,0.0218
4664,-0.0413,-0.9955,0.0191,-0.0669,-0.0256,0.2508
4674,-0.0480,-0.9991,0.0218,0.0094,0.0202,0.2356
4684,-0.0445,-1.0013,0.0249,0.0094,-0.0256,0.2050
4694,-0.0485,-0.9959,0.0198,-0.0669,0.0202,0.0524
4704,-0.0492,-0.9998,0.0237,-0.0669,0.0202,-0.2072
4714,-0.0409,-1.0003,0.0172,-0.0975,0.0508,-0.3293
4724,-0.0436,-0.9981,0.0181,-0.0364,0.0050,-0.1766
4734,-0.0418,-0.9974,0.0201,0.0399,-0.0408,0.0218
4744,-0.0450,-0.9989,0.0203,0.1010,-0.0714,0.1745
4754,-0.0423,-0.9937,0.0179,0.1010,-0.0103,0.2661
4764,-0.0448,-1.0011,0.0198,0.0705,0.0202,0.1287
4774,-0.0428,-0.9967,0.0186,0.1010,0.0355,-0.0240
4784,-0.0399,-0.9984,0.0160,0.0247,0.0050,-0.0240
4794,-0.0423,-1.0035,0.0242,0.1468,0.0050,0.0371
4804,-0.0445,-0.9981,0.0203,0.1621,0.0050,-0.0087
4814,-0.0445,-0.9972,0.0266,0.0857,-0.0408,-0.0850
4824,-0.0416,-0.9981,0.0210,-0.0364,0.0966,-0.1766
4834,-0.0433,-0.9967,0.0264,-0.0059,0.0660,-0.2835
4844,-0.0453,-0.9964,0.0198,-0.0517,0.0660,-0.2682
4854,-0.0426,-1.0016,0.0210,-0.2196,0.0050,-0.3598
4864,-0.0426,-0.9940,0.0184,-0.2196,0.0050,-0.3904
4874,-0.0423,-0.9989,0.0179,-0.2349,-0.0256,-0.3140
4884,-0.0440,-0.9969,0.0169,-0.2044,0.0355,-0.1461
4894,-0.0465,-1.0018,0.0181,-0.1738,0.0050,-0.2224
4904,-0.0428,-0.9972,0.0155,-0.1280,0.0508,-0.2530
4914,-0.0418,-0.9959,0.0121,-0.0211,0.0813,-0.2072
4924,-0.0394,-0.9937,0.0193,0.1621,-0.0256,0.0218
4934,-0.0421,-0.9959,0.0140,0.1468,0.0050,0.2203
4944,-0.0445,-0.9984,0.0174,0.1010,0.0050,0.2356
4954,-0.0404,-0.9942,0.0215,0.0247,0.0813,0.0218
4964,-0.0416,-0.9979,0.0186,0.0857,0.0508,-0.1156
4974,-0.0406,-1.0008,0.0213,0.1315,-0.0866,-0.2224
4984,-0.0445,-0.9969,0.0218,-0.0211,0.0202,-0.2072
4994,-0.0379,-0.9996,0.0249,0.0247,0.0202,-0.1003
5004,-0.0443,-0.9955,0.0193,-0.0211,0.0202,0.2203
5014,-0.0431,-1.0030,0.0191,-0.0669,-0.0103,0.5104
5024,-0.0450,-1.0025,0.0225,-0.0059,0.0202,0.4035
5034,-0.0428,-1.0035,0.0191,-0.0364,-0.0103,0.1440
5044,-0.0445,-1.0003,0.0186,-0.0669,0.0508,-0.1461
5054,-0.0443,-0.9979,0.0160,0.0094,-0.0256,-0.3140
5064,-0.0421,-0.9977,0.0111,0.1010,0.0202,-0.3293
5074,-0.0445,-0.9947,0.0160,0.0857,0.0355,-0.2224
5084,-0.0426,-0.9947,0.0157,0.0552,0.0050,-0.1919
5094,-0.0396,-0.9964,0.0184,0.0552,0.1118,-0.1766
5104,-0.0401,-0.9996,0.0205,0.0094,0.0202,0.0676
5114,-0.0423,-0.9969,0.0176,0.0705,-0.0408,0.0982
5124,-0.0421,-1.0018,0.0205,0.0552,-0.0714,0.0371
5134,-0.0445,-0.9974,0.0230,0.0399,-0.0408,0.0524
5144,-0.0409,-1.0006,0.0235,-0.0059,0.0355,-0.0087
5154,-0.0409,-0.9981,0.0205,-0.0669,0.0050,-0.1003
5164,-0.0428,-0.9984,0.0261,-0.1433,0.0050,-0.0545
5174,-0.0453,-1.0018,0.0239,-0.0669,-0.0103,0.0829
5184,-0.0394,-1.0013,0.0201,0.0552,-0.0256,0.1134
5194,-0.0440,-1.0033,0.0242,-0.0059,0.0050,0.2203
5204,-0.0462,-0.9962,0.0215,-0.0517,0.0050,0.2203
5214,-0.0489,-0.9981,0.0201,0.0094,-0.0103,0.1745
5224,-0.0443,-0.9981,0.0225,-0.0364,0.0813,0.0371
5234,-0.0426,-1.0006,0.0169,0.0247,0.0508,-0.1156
5244,-0.0455,-0.9945,0.0174,0.0094,-0.0256,-0.1308
5254,-0.0401,-0.9998,0.0244,-0.0364,0.0202,-0.1614
5264,-0.0431,-0.9989,0.0256,0.0247,0.0202,-0.1614
5274,-0.0443,-0.9967,0.0225,0.0552,0.0508,-0.2530
5284,-0.0426,-0.9996,0.0256,0.0705,0.0202,-0.1919
5294,-0.0404,-0.9952,0.0210,0.0552,0.0355,-0.0698
5304,-0.0428,-0.9957,0.0230,0.0094,-0.0103,0.0218
5314,-0.0386,-0.9981,0.0208,0.1010,-0.0408,0.0524
5324,-0.0436,-1.0011,0.0273,0.1010,-0.0408,-0.0087
5334,-0.0413,-0.9972,0.0244,0.1163,0.0355,0.0982
5344,-0.0406,-1.0013,0.0181,0.1621,0.0050,0.1745
5354,-0.0396,-1.0018,0.0225,0.1010,0.0202,0.0371
5364,-0.0421,-0.9955,0.0162,-0.0059,0.0050,-0.1003
5374,-0.0436,-0.9974,0.0179,-0.0211,0.0660,-0.1919
5384,-0.0460,-0.9964,0.0215,0.0247,-0.0103,-0.2072
5394,-0.0462,-0.9977,0.0210,0.0552,-0.0714,-0.1308
5404,-0.0462,-0.9947,0.0225,0.1010,-0.0561,-0.0545
5414,-0.0423,-1.0035,0.0155,0.1163,0.0508,0.0676
5424,-0.0423,-1.0006,0.0152,0.1926,0.0202,0.0982
5434,-0.0438,-0.9964,0.0196,0.1468,0.0355,0.1440
5444,-0.0480,-0.9986,0.0191,0.1315,-0.0103,0.1745
5454,-0.0389,-0.9967,0.0227,0.1468,-0.0256,0.1134
5464,-0.0428,-1.0013,0.0259,0.0399,0.0202,0.1287
5474,-0.0455,-0.9986,0.0235,-0.0517,0.0355,-0.1308
5484,-0.0391,-0.9942,0.0266,-0.0669,0.0050,-0.1614
5494,-0.0436,-0.9974,0.0244,-0.0975,-0.0103,-0.2072
5504,-0.0416,-0.9991,0.0268,-0.0211,-0.0103,-0.1003
5514,-0.0438,-0.9969,0.0184,0.0094,-0.0103,0.0066
5524,-0.0438,-0.9933,0.0232,-0.0517,-0.0103,0.0218
5534,-0.0458,-0.9930,0.0143,0.0399,0.0050,-0.0087
5544,-0.0448,-0.9989,0.0201,0.0094,0.0355,0.0066
5554,-0.0472,-0.9996,0.0208,-0.0364,-0.0256,-0.1308
5564,-0.0462,-0.9989,0.0179,-0.0364,0.0202,-0.2682
5574,-0.0421,-0.9998,0.0196,-0.0975,0.0050,-0.2224
