timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0428,1.0014,0.0271,-0.1364,0.0648,-0.3137
3974,-0.0507,1.0012,0.0222,-0.0601,0.0037,-0.2068
3984,-0.0489,0.9997,0.0297,-0.1059,-0.0115,-0.0083
3994,-0.0504,0.9978,0.0324,-0.0753,-0.0268,0.2665
4004,-0.0458,1.0004,0.0259,-0.0143,-0.0115,0.4192
4014,-0.0372,1.0000,0.0259,-0.0295,0.0343,0.5566
4024,-0.0386,1.0012,0.0215,0.0163,0.0495,0.5566
4034,-0.0357,1.0017,0.0268,0.0468,0.0190,0.4497
4044,-0.0423,1.0034,0.0283,0.0773,-0.0115,0.2054
4054,-0.0342,1.0012,0.0251,0.1689,0.0037,0.1902
4064,-0.0347,0.9997,0.0244,0.3521,-0.0115,0.1138
4074,-0.0335,1.0007,0.0259,0.3521,0.0037,0.0833
4084,-0.0342,0.9970,0.0230,0.3979,-0.0268,-0.2373
4094,-0.0396,1.0000,0.0278,0.2453,-0.0268,-0.4053
4104,-0.0443,0.9985,0.0198,0.2605,0.0190,-0.4053
4114,-0.0453,0.9970,0.0268,0.3521,0.0037,-0.2984
4124,-0.0485,0.9975,0.0230,0.4590,-0.0115,-0.2068
4134,-0.0460,1.0019,0.0174,0.4590,0.0495,0.0833
4144,-0.0467,1.0036,0.0247,0.3521,-0.0268,0.1749
4154,-0.0428,0.9980,0.0310,0.2758,0.0037,0.2054
4164,-0.0455,0.9992,0.0273,0.2453,-0.0421,0.2207
4174,-0.0458,0.9990,0.0339,0.2453,-0.1031,0.2665
4184,-0.0455,0.9975,0.0329,0.3369,-0.0268,0.3123
4194,-0.0445,1.0026,0.0365,0.5353,-0.1031,0.2970
4204,-0.0423,1.0017,0.0205,0.7033,-0.0726,0.4802
4214,-0.0379,1.0009,0.0213,0.6727,0.0190,0.4039
4224,-0.0413,1.0002,0.0227,0.6269,-0.0421,0.3581
4234,-0.0279,1.0012,0.0268,0.6117,-0.0726,0.2207
4244,-0.0409,0.9992,0.0256,0.6117,0.0037,0.0527
4254,-0.0438,1.0007,0.0329,0.6880,-0.1184,0.0069
4264,-0.0428,1.0012,0.0210,0.7338,-0.0115,0.0222
4274,-0.0386,1.0017,0.0268,0.8560,0.0037,0.1138
4284,-0.0401,1.0002,0.0225,1.0086,-0.0268,0.2207
4294,-0.0384,0.9992,0.0191,0.8865,-0.0115,0.3581
4304,-0.0306,0.9995,0.0203,0.7491,-0.0268,0.2665
4314,-0.0337,0.9978,0.0235,0.7949,0.0037,0.1138
4324,-0.0359,0.9982,0.0266,0.6422,0.0648,-0.0389
4334,-0.0431,0.9985,0.0237,0.6117,-0.0421,-0.1915
4344,-0.0475,0.9992,0.0314,0.6575,-0.0268,-0.2373
4354,-0.0440,1.0036,0.0276,0.7949,0.0190,-0.1610
4364,-0.0426,1.0000,0.0256,0.9781,0.0495,-0.1305
4374,-0.0428,0.9990,0.0227,1.0392,0.0953,-0.0694
4384,-0.0374,1.0021,0.0215,0.9781,0.0648,-0.0541
4394,-0.0364,1.0017,0.0056,0.8254,-0.0268,-0.1610
4404,-0.0475,0.9978,0.0191,0.7185,-0.1184,-0.1457
4414,-0.0406,1.0041,0.0222,0.5048,-0.0879,-0.0083
4424,-0.0431,1.0039,0.0157,0.4132,0.0495,0.0833
4434,-0.0465,0.9973,0.0176,0.3521,0.0037,0.1902
4444,-0.0423,0.9985,0.0213,0.2300,0.0190,0.3123
4454,-0.0404,0.9992,0.0152,0.1231,0.0801,0.4192
4464,-0.0355,1.0000,0.0205,0.0010,0.1411,0.4497
4474,-0.0394,1.0017,0.0244,-0.0906,0.1564,0.4497
4484,-0.0374,1.0021,0.0276,-0.0906,0.0495,0.2665
4494,-0.0384,0.9990,0.0266,-0.1059,-0.0115,0.2054
4504,-0.0409,1.0000,0.0283,-0.1364,-0.0421,0.2207
4514,-0.0362,1.0024,0.0254,-0.0295,0.0495,0.1749
4524,-0.0357,0.9987,0.0326,0.1079,-0.0115,-0.0541
4534,-0.0389,1.0009,0.0176,0.2147,0.0037,-0.0694
4544,-0.0382,1.0014,0.0198,0.2300,-0.0421,-0.1610
4554,-0.0443,1.0012,0.0254,0.1995,-0.0573,-0.1610
4564,-0.0423,1.0007,0.0138,0.2605,-0.1031,-0.1610
4574,-0.0411,0.9995,0.0259,0.2758,-0.0573,-0.1305
4584,-0.0448,0.9987,0.0259,0.2605,-0.0115,-0.1457
4594,-0.0475,1.0009,0.0288,0.1689,-0.0115,0.0375
4604,-0.0394,1.0019,0.0254,0.2300,-0.0879,0.1444
4614,-0.0406,1.0012,0.0208,0.2300,-0.0421,0.2207
4624,-0.0411,1.0009,0.0247,0.3216,0.0190,0.2665
4634,-0.0359,0.9992,0.0196,0.4285,0.0190,0.1596
4644,-0.0411,0.9990,0.0213,0.2911,0.0037,0.0375
4654,-0.0409,0.9995,0.0232,0.1689,0.0495,-0.0083
4664,-0.0448,1.0000,0.0172,0.2758,0.0801,-0.0236
4674,-0.0455,1.0012,0.0186,0.2758,0.0037,-0.0236
4684,-0.0369,0.9982,0.0256,0.2758,-0.0726,0.0375
4694,-0.0423,1.0002,0.0174,0.2453,-0.0115,0.0069
4704,-0.0413,1.0007,0.0135,0.1995,0.0343,-0.0389
4714,-0.0433,1.0014,0.0193,0.2147,0.0190,-0.0999
4724,-0.0355,1.0009,0.0196,0.3369,-0.0421,-0.1610
4734,-0.0436,0.9982,0.0256,0.2300,-0.0268,-0.1457
4744,-0.0448,0.9951,0.0235,0.1842,0.0495,-0.2221
4754,-0.0377,1.0017,0.0169,0.1384,-0.0115,-0.0389
4764,-0.0377,0.9963,0.0157,0.0621,0.0801,-0.1305
4774,-0.0372,0.9956,0.0261,0.0163,-0.0421,-0.1457
4784,-0.0450,1.0024,0.0220,0.1231,0.0037,-0.1305
4794,-0.0436,0.9997,0.0264,0.0621,-0.0421,-0.0694
4804,-0.0467,0.9963,0.0251,0.1231,0.0648,0.0069
4814,-0.0480,1.0046,0.0176,0.2453,0.0190,0.0680
4824,-0.0404,1.0026,0.0155,0.2453,-0.0115,0.1596
4834,-0.0391,0.9978,0.0126,0.3216,-0.0268,0.0985
4844,-0.0357,1.0000,0.0118,0.2147,-0.0268,-0.0236
4854,-0.0367,0.9987,0.0215,0.1689,-0.1184,-0.1152
4864,-0.0409,1.0026,0.0191,0.0773,-0.0573,-0.2373
4874,-0.0465,1.0026,0.0121,0.0468,0.0190,-0.2679
4884,-0.0443,0.9997,0.0247,-0.0295,0.0801,-0.1457
4894,-0.0389,0.9946,0.0184,-0.1059,0.0495,-0.1610
4904,-0.0480,1.0009,0.0215,-0.2127,0.0495,-0.1305
4914,-0.0499,1.0029,0.0276,-0.2738,0.0343,0.0222
4924,-0.0433,0.9970,0.0222,-0.1669,0.0037,0.1291
4934,-0.0386,0.9990,0.0218,-0.2127,-0.0421,0.2970
4944,-0.0413,1.0000,0.0215,-0.2433,0.0190,0.3886
4954,-0.0382,1.0031,0.0181,-0.2280,0.0037,0.4497
4964,-0.0440,1.0002,0.0247,-0.1822,-0.0115,0.4192
4974,-0.0465,1.0004,0.0273,-0.3044,-0.0268,0.3581
4984,-0.0440,0.9990,0.0268,-0.2127,0.0495,0.3428
4994,-0.0362,1.0051,0.0242,-0.1211,0.0495,0.3276
5004,-0.0377,1.0041,0.0157,-0.0295,0.0037,0.2665
5014,-0.0347,1.0026,0.0179,-0.1211,0.0343,0.1444
5024,-0.0357,0.9978,0.0208,-0.2433,0.0801,-0.0389
5034,-0.0418,1.0039,0.0319,-0.1822,0.0037,-0.1610
5044,-0.0450,1.0029,0.0314,-0.0906,0.0343,-0.1152
5054,-0.0423,1.0004,0.0239,-0.0601,0.0801,-0.1152
5064,-0.0453,0.9997,0.0271,0.0010,0.0037,0.0375
5074,-0.0396,0.9992,0.0227,0.1079,0.0037,0.0069
5084,-0.0426,1.0021,0.0264,0.2453,0.0801,0.0222
5094,-0.0406,1.0014,0.0317,0.2147,-0.0268,-0.0083
5104,-0.0440,0.9982,0.0186,0.2911,-0.0879,0.0375
5114,-0.0431,0.9995,0.0239,0.2911,0.0343,0.1138
5124,-0.0399,1.0007,0.0261,0.3827,0.0648,0.0527
5134,-0.0386,1.0026,0.0205,0.3674,0.0190,0.0527
5144,-0.0362,1.0031,0.0264,0.3979,0.0343,-0.1610
5154,-0.0372,0.9990,0.0196,0.4437,-0.0268,-0.2526
5164,-0.0399,0.9982,0.0218,0.3827,0.0190,-0.4358
5174,-0.0443,0.9987,0.0266,0.3063,0.0648,-0.4816
5184,-0.0458,0.9992,0.0210,0.4590,0.0953,-0.4511
5194,-0.0440,1.0029,0.0213,0.3216,-0.0573,-0.2984
5204,-0.0485,0.9980,0.0169,0.2758,0.0801,-0.1763
5214,-0.0460,1.0017,0.0164,0.2147,-0.0115,0.0527
5224,-0.0492,1.0026,0.0239,0.2300,-0.0573,0.2512
5234,-0.0524,1.0051,0.0210,0.2147,-0.0115,0.3581
5244,-0.0460,0.9997,0.0174,0.1842,-0.0268,0.4955
5254,-0.0453,1.0007,0.0244,0.0926,-0.0421,0.6024
5264,-0.0409,0.9968,0.0266,0.0468,-0.0115,0.6329
5274,-0.0355,0.9987,0.0225,-0.0295,0.0190,0.6329
5284,-0.0362,1.0017,0.0254,-0.0753,-0.0115,0.6482
5294,-0.0411,1.0012,0.0174,-0.1975,0.0495,0.4344
5304,-0.0318,1.0068,0.0145,-0.2280,0.0953,0.3276
5314,-0.0409,1.0029,0.0215,-0.1822,0.0801,0.2360
5324,-0.0355,0.9992,0.0176,-0.1975,-0.0421,0.2360
5334,-0.0389,1.0046,0.0157,-0.1975,-0.1031,0.1291
5344,-0.0394,1.0000,0.0201,-0.3044,-0.0726,0.0985
5354,-0.0487,1.0012,0.0264,-0.2891,-0.0115,0.0069
5364,-0.0374,1.0017,0.0244,-0.3349,0.0343,0.0680
5374,-0.0391,1.0031,0.0230,-0.2891,0.0343,0.1291
5384,-0.0359,0.9992,0.0280,-0.1975,0.0343,0.0527
5394,-0.0401,0.9982,0.0259,-0.2585,0.0190,-0.0541
5404,-0.0431,1.0007,0.0167,-0.3654,0.0190,-0.0694
5414,-0.0401,1.0012,0.0191,-0.2891,0.0495,-0.1457
5424,-0.0406,0.9982,0.0225,-0.3654,-0.0115,-0.1152
5434,-0.0431,0.9995,0.0227,-0.2738,0.0801,-0.0694
5444,-0.0401,1.0004,0.0259,-0.2891,0.0495,-0.0236
5454,-0.0337,1.0031,0.0264,-0.1975,0.1564,-0.2831
5464,-0.0377,0.9995,0.0276,-0.2127,0.1106,-0.4205
5474,-0.0350,1.0048,0.0300,-0.2433,0.0801,-0.5121
5484,-0.0438,1.0043,0.0235,-0.1669,-0.0573,-0.6190
5494,-0.0428,1.0002,0.0256,-0.1364,-0.1184,-0.5427
5504,-0.0460,0.9995,0.0222,-0.0753,-0.1337,-0.4663
5514,-0.0477,1.0000,0.0218,-0.1975,-0.1184,-0.2984
5524,-0.0364,0.9982,0.0237,-0.3960,-0.0573,-0.1763
5534,-0.0384,1.0017,0.0152,-0.3807,0.0343,-0.0999
5544,-0.0413,1.0014,0.0213,-0.4418,0.1106,-0.0847
5554,-0.0465,0.9980,0.0184,-0.6708,0.0495,-0.0236
5564,-0.0470,0.9975,0.0210,-0.7471,0.0648,-0.0389
5574,-0.0485,1.0029,0.0411,-0.7166,0.0190,0.1444
5584,-0.0472,1.0021,0.0191,-0.7013,-0.0268,0.1902
5594,-0.0409,1.0009,0.0331,-0.8234,0.0190,0.2207
5604,-0.0369,0.9978,0.0215,-0.7471,0.0343,0.2512
5614,-0.0379,1.0029,0.0225,-0.8234,0.0495,0.0527
5624,-0.0445,0.9982,0.0290,-0.7929,0.0801,-0.0847
5634,-0.0438,0.9973,0.0293,-0.6860,0.0953,-0.0694
5644,-0.0475,0.9968,0.0372,-0.5944,0.0037,0.0375
5654,-0.0367,0.9995,0.0259,-0.6097,0.0495,0.1596
5664,-0.0411,0.9982,0.0278,-0.6555,-0.0115,0.1291
5674,-0.0389,0.9995,0.0285,-0.6402,-0.0268,0.1138
5684,-0.0413,1.0029,0.0259,-0.5792,0.0343,0.1902
5694,-0.0347,0.9995,0.0341,-0.5181,0.0037,0.1902
5704,-0.0340,1.0000,0.0346,-0.4265,-0.0268,0.1138
5714,-0.0342,1.0000,0.0256,-0.2891,0.0648,-0.0847
5724,-0.0369,0.9970,0.0358,-0.3196,0.0190,-0.2373
5734,-0.0413,1.0026,0.0348,-0.2738,0.0037,-0.3900
5744,-0.0482,0.9987,0.0290,-0.2585,-0.0726,-0.3595
