timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0151,-0.0206,-1.0099,-0.0921,-0.2276,-0.0197
3974,-0.0156,-0.0172,-1.0074,0.0758,-0.3955,-0.1113
3984,-0.0141,-0.0223,-1.0057,0.1063,-0.4260,-0.0808
3994,-0.0122,-0.0137,-1.0099,0.1674,-0.3192,-0.0044
4004,-0.0048,-0.0220,-1.0144,0.1063,-0.2276,0.1024
4014,-0.0100,-0.0135,-1.0089,0.0300,-0.1207,0.0566
4024,-0.0090,-0.0269,-1.0057,-0.0311,-0.1207,0.0261
4034,-0.0080,-0.0203,-1.0057,-0.1074,-0.2428,0.0108
4044,-0.0119,-0.0213,-1.0086,-0.2295,-0.1665,0.0719
4054,-0.0134,-0.0201,-1.0043,-0.2906,-0.0444,0.1024
4064,-0.0136,-0.0193,-1.0069,-0.3822,0.0015,0.0566
4074,-0.0122,-0.0259,-1.0048,-0.2753,-0.0138,0.0261
4084,-0.0134,-0.0250,-1.0004,-0.2906,-0.0749,-0.0655
4094,-0.0109,-0.0174,-1.0050,-0.0463,-0.1970,-0.0960
4104,-0.0168,-0.0240,-1.0099,0.0605,-0.3344,-0.0655
4114,-0.0185,-0.0191,-1.0077,0.0758,-0.5024,-0.0808
4124,-0.0168,-0.0157,-1.0079,0.0605,-0.4566,-0.1724
4134,-0.0232,-0.0128,-0.9961,-0.0463,-0.2734,-0.1266
4144,-0.0158,-0.0191,-1.0123,-0.1837,-0.0138,-0.0502
4154,-0.0183,-0.0145,-1.0067,-0.1532,0.1236,-0.0960
4164,-0.0166,-0.0147,-1.0057,-0.1685,0.1694,-0.0197
4174,-0.0090,-0.0152,-1.0072,-0.1074,0.2152,-0.0808
4184,-0.0131,-0.0184,-1.0019,-0.0921,0.0931,-0.0197
4194,-0.0151,-0.0140,-1.0069,-0.0158,0.0320,-0.0502
4204,-0.0090,-0.0176,-1.0149,0.3048,0.0320,-0.0808
4214,-0.0122,-0.0237,-1.0048,0.3811,-0.1054,-0.0655
4224,-0.0124,-0.0213,-0.9999,0.4880,-0.2734,-0.1113
4234,-0.0070,-0.0303,-1.0106,0.3506,-0.4871,-0.1266
4244,-0.0114,-0.0247,-1.0079,0.1979,-0.6398,-0.0808
4254,-0.0114,-0.0208,-1.0086,0.0453,-0.4718,-0.1266
4264,-0.0178,-0.0189,-1.0057,-0.0463,-0.1970,-0.0655
4274,-0.0119,-0.0169,-1.0072,-0.0311,-0.0596,0.0108
4284,-0.0185,-0.0157,-1.0028,-0.0921,-0.0596,-0.0044
4294,-0.0180,-0.0189,-1.0002,-0.1379,-0.1818,-0.0808
4304,-0.0188,-0.0137,-1.0057,-0.0921,-0.2734,-0.0655
4314,-0.0212,-0.0189,-1.0028,-0.1379,-0.1970,-0.0655
4324,-0.0149,-0.0128,-1.0091,-0.0311,-0.0749,-0.1266
4334,-0.0176,-0.0167,-1.0077,0.0147,0.0320,-0.1266
4344,-0.0131,-0.0169,-1.0099,0.1521,0.0625,-0.0960
4354,-0.0151,-0.0237,-1.0118,0.1827,0.1541,0.0108
4364,-0.0131,-0.0218,-1.0099,0.1521,0.3221,-0.0197
4374,-0.0144,-0.0193,-1.0065,0.1674,0.3373,-0.0350
4384,-0.0131,-0.0186,-1.0048,0.2132,0.3984,-0.0655
4394,-0.0124,-0.0186,-1.0072,0.3811,0.5816,0.0108
4404,-0.0166,-0.0191,-1.0026,0.4422,0.7495,-0.0808
4414,-0.0100,-0.0128,-1.0118,0.4117,0.8106,-0.1113
4424,-0.0109,-0.0291,-1.0111,0.2743,0.8411,-0.0655
4434,-0.0129,-0.0240,-1.0067,-0.0769,0.9785,-0.0655
4444,-0.0141,-0.0213,-1.0079,-0.1837,0.9480,-0.0502
4454,-0.0122,-0.0191,-1.0086,-0.3059,0.9938,0.0566
4464,-0.0104,-0.0186,-1.0113,-0.3517,0.7190,0.1024
4474,-0.0082,-0.0184,-1.0086,-0.2295,0.4900,0.0566
4484,-0.0156,-0.0147,-1.0074,-0.1837,0.3221,0.0414
4494,-0.0102,-0.0123,-1.0067,-0.1227,0.2152,0.0261
4504,-0.0139,-0.0172,-1.0101,-0.1685,0.0625,-0.0502
4514,-0.0112,-0.0154,-1.0067,0.0147,0.0625,-0.0044
4524,-0.0141,-0.0206,-1.0118,0.1216,0.0625,-0.1418
4534,-0.0131,-0.0179,-1.0115,0.1674,0.1236,-0.1113
4544,-0.0095,-0.0196,-1.0094,0.1063,0.2457,-0.0350
4554,-0.0100,-0.0169,-1.0118,0.0605,0.3221,-0.0350
4564,-0.0129,-0.0225,-1.0137,-0.1074,0.0167,0.0414
4574,-0.0117,-0.0174,-1.0072,-0.1379,-0.2276,0.0566
4584,-0.0141,-0.0179,-1.0053,-0.1379,-0.4260,0.0108
4594,-0.0141,-0.0169,-1.0033,-0.0463,-0.5024,-0.0197
4604,-0.0153,-0.0191,-1.0091,0.1521,-0.1818,-0.0197
4614,-0.0126,-0.0167,-1.0011,0.1063,0.1236,0.0108
4624,-0.0085,-0.0157,-1.0077,0.0758,0.2457,-0.0808
4634,-0.0131,-0.0220,-1.0108,-0.0158,-0.0138,-0.1876
4644,-0.0112,-0.0147,-1.0069,-0.0616,-0.1818,-0.0808
4654,-0.0136,-0.0201,-1.0057,-0.1074,-0.2581,-0.0960
4664,-0.0141,-0.0179,-1.0031,-0.0921,-0.1360,-0.0808
4674,-0.0102,-0.0179,-1.0077,-0.0311,0.0625,-0.0502
4684,-0.0149,-0.0198,-1.0106,0.1369,0.0625,0.0261
4694,-0.0107,-0.0174,-1.0055,0.1674,0.0473,-0.0197
4704,-0.0095,-0.0167,-1.0130,0.2590,0.0015,-0.1113
4714,-0.0171,-0.0169,-1.0002,0.3506,0.0625,-0.1418
4724,-0.0153,-0.0191,-1.0043,0.3201,0.1847,-0.0044
4734,-0.0183,-0.0154,-1.0060,0.3506,0.3526,-0.0197
4744,-0.0104,-0.0211,-1.0053,0.4117,0.5511,-0.0044
4754,-0.0102,-0.0228,-1.0108,0.3506,0.7343,-0.0197
4764,-0.0092,-0.0215,-1.0043,0.3353,0.7343,-0.1113
4774,-0.0073,-0.0242,-1.0144,0.2285,0.5358,-0.0502
4784,-0.0087,-0.0218,-1.0130,0.1521,0.1999,-0.0502
4794,-0.0104,-0.0201,-1.0169,0.1674,-0.1818,-0.0808
4804,-0.0112,-0.0145,-1.0101,0.0758,-0.5024,-0.0197
4814,-0.0122,-0.0184,-1.0031,0.1521,-0.7008,-0.0960
4824,-0.0171,-0.0198,-1.0021,0.2132,-0.5482,-0.0808
4834,-0.0149,-0.0189,-1.0091,0.0453,-0.2428,-0.0044
4844,-0.0156,-0.0201,-1.0120,-0.2143,0.1236,0.0719
4854,-0.0139,-0.0164,-1.0067,-0.2448,0.2915,-0.0350
4864,-0.0104,-0.0203,-1.0123,-0.1990,0.2305,-0.0960
4874,-0.0122,-0.0189,-1.0067,-0.1227,0.1389,-0.0808
4884,-0.0124,-0.0154,-1.0065,-0.1685,-0.1360,-0.0502
4894,-0.0176,-0.0176,-1.0031,-0.1837,-0.3039,-0.0350
4904,-0.0122,-0.0154,-1.0101,-0.0921,-0.2123,-0.1571
4914,-0.0161,-0.0172,-1.0111,-0.1074,-0.0291,-0.0808
4924,-0.0129,-0.0203,-1.0086,0.0300,0.1694,-0.0044
4934,-0.0087,-0.0203,-1.0082,0.1827,0.3068,-0.0960
4944,-0.0129,-0.0230,-1.0132,0.0300,0.2305,-0.0502
4954,-0.0126,-0.0167,-1.0077,-0.1379,0.1541,-0.1266
4964,-0.0102,-0.0198,-1.0024,-0.1685,0.1694,-0.0808
4974,-0.0131,-0.0208,-0.9975,-0.2143,0.2610,-0.0502
4984,-0.0134,-0.0169,-1.0106,-0.2601,0.5358,0.0261
4994,-0.0139,-0.0176,-1.0079,-0.1074,0.7343,0.0719
5004,-0.0068,-0.0193,-1.0082,0.0300,0.6732,0.0872
5014,-0.0073,-0.0191,-1.0086,0.0147,0.4137,-0.1418
5024,-0.0055,-0.0250,-1.0188,-0.0158,-0.0138,-0.1724
5034,-0.0117,-0.0169,-1.0115,-0.2143,-0.2276,-0.1113
5044,-0.0055,-0.0230,-1.0101,-0.1532,-0.2886,-0.0960
5054,-0.0144,-0.0162,-1.0048,-0.1685,-0.5482,-0.0502
5064,-0.0134,-0.0154,-1.0062,-0.0463,-0.4413,0.0261
5074,-0.0041,-0.0169,-1.0094,-0.1074,-0.3802,0.0261
5084,-0.0092,-0.0198,-1.0091,-0.1685,-0.4718,0.0108
