timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.0276,-0.0725,-1.0036,-0.1760,-0.4603,-0.0254
3974,-0.0345,-0.0760,-1.0123,-0.0997,-0.7809,-0.2239
3984,-0.0318,-0.0704,-1.0040,-0.1150,-0.5214,-0.0407
3994,-0.0355,-0.0694,-1.0014,-0.0539,-0.1550,-0.1170
4004,-0.0288,-0.0769,-1.0050,-0.0386,0.0435,-0.0407
4014,-0.0359,-0.0765,-1.0128,-0.0692,-0.0023,-0.0254
4024,-0.0333,-0.0806,-0.9956,-0.1455,0.0893,0.1883
4034,-0.0325,-0.0667,-1.0016,-0.1760,-0.0176,0.2494
4044,-0.0318,-0.0755,-1.0028,-0.1760,-0.1702,0.2494
4054,-0.0367,-0.0777,-1.0084,-0.0081,-0.0481,0.2494
4064,-0.0279,-0.0708,-1.0089,-0.0081,0.0435,0.1120
4074,-0.0340,-0.0755,-1.0026,0.1140,0.4405,-0.1628
4084,-0.0315,-0.0733,-1.0062,0.2056,0.8527,-0.0407
4094,-0.0335,-0.0745,-1.0036,0.2056,1.0359,0.1273
4104,-0.0274,-0.0767,-1.0062,0.2209,1.0053,0.0356
4114,-0.0254,-0.0725,-1.0036,0.0682,1.0053,0.3257
4124,-0.0423,-0.0725,-1.0028,-0.0844,0.6542,0.2494
4134,-0.0075,-0.0772,-1.0009,-0.2524,0.1198,0.2494
4144,-0.0234,-0.0716,-1.0065,-0.2524,-0.1855,-0.1476
4154,-0.0342,-0.0757,-0.9946,-0.0692,-0.0328,-0.2697
4164,-0.0264,-0.0728,-1.0053,-0.0081,0.3947,-0.1476
4174,-0.0301,-0.0733,-1.0062,0.0835,0.5473,-0.2544
4184,-0.0276,-0.0733,-1.0060,0.1904,0.5473,-0.2392
4194,-0.0313,-0.0796,-1.0033,0.1904,0.4099,-0.2544
4204,-0.0320,-0.0716,-1.0007,0.1904,0.4099,-0.1934
4214,-0.0276,-0.0750,-1.0048,0.0530,0.3183,-0.1476
4224,-0.0291,-0.0772,-1.0024,-0.0234,0.3641,-0.0560
4234,-0.0256,-0.0755,-1.0103,0.1293,0.4252,0.0509
4244,-0.0256,-0.0686,-1.0011,0.2515,0.5015,-0.0712
4254,-0.0335,-0.0699,-1.0067,0.3278,0.5626,-0.2239
4264,-0.0291,-0.0755,-1.0050,0.4347,0.7305,-0.3002
4274,-0.0315,-0.0782,-1.0026,0.5110,0.9595,-0.2239
4284,-0.0291,-0.0784,-1.0021,0.4347,1.2344,-0.1628
4294,-0.0264,-0.0730,-1.0072,0.3889,1.3260,-0.0254
4304,-0.0274,-0.0686,-1.0176,0.2056,1.0664,0.0662
4314,-0.0256,-0.0816,-1.0086,-0.0081,0.6695,0.0051
4324,-0.0296,-0.0747,-1.0096,-0.2524,0.2420,-0.1934
4334,-0.0261,-0.0799,-1.0053,-0.3287,0.0130,-0.1476
4344,-0.0259,-0.0765,-1.0048,-0.4050,-0.1550,-0.1934
4354,-0.0234,-0.0730,-1.0069,-0.4661,-0.1855,-0.1628
4364,-0.0271,-0.0801,-1.0004,-0.4203,-0.1855,-0.2086
4374,-0.0298,-0.0784,-1.0028,-0.3592,-0.1244,-0.2544
4384,-0.0261,-0.0784,-1.0057,-0.2676,-0.0328,-0.1628
4394,-0.0266,-0.0769,-1.0077,-0.1455,0.2420,-0.0254
4404,-0.0261,-0.0757,-1.0082,0.0682,0.4405,-0.0865
4414,-0.0276,-0.0799,-1.0038,0.1598,0.6542,-0.1170
4424,-0.0256,-0.0725,-1.0038,0.1598,0.7916,0.0509
4434,-0.0276,-0.0745,-1.0077,0.4041,0.9137,-0.0560
4444,-0.0310,-0.0760,-1.0045,0.4652,0.8069,0.0051
4454,-0.0259,-0.0794,-1.0021,0.3736,0.5168,0.0204
4464,-0.0288,-0.0716,-1.0082,0.0988,0.0130,-0.0712
4474,-0.0269,-0.0789,-1.0069,-0.0539,-0.6130,-0.0407
4484,-0.0276,-0.0767,-1.0065,-0.2371,-1.2847,-0.1170
4494,-0.0244,-0.0806,-1.0026,-0.2371,-1.5137,-0.0254
4504,-0.0296,-0.0806,-1.0053,-0.2524,-1.4221,-0.0865
4514,-0.0261,-0.0828,-1.0004,-0.2524,-0.9641,0.0509
4524,-0.0212,-0.0779,-1.0028,-0.1913,-0.6588,0.0815
4534,-0.0244,-0.0816,-1.0019,-0.2371,-0.5977,-0.1170
4544,-0.0271,-0.0811,-1.0043,-0.2066,-0.5977,-0.1018
4554,-0.0244,-0.0777,-0.9963,-0.0386,-0.1397,-0.0560
4564,-0.0347,-0.0777,-0.9968,0.1446,0.3336,-0.0865
4574,-0.0318,-0.0772,-1.0067,0.3125,0.8069,-0.0865
4584,-0.0195,-0.0760,-1.0048,0.3431,0.8527,0.0509
4594,-0.0286,-0.0745,-1.0077,0.1904,0.7458,-0.0254
4604,-0.0234,-0.0789,-1.0069,0.1293,0.4252,0.0051
4614,-0.0239,-0.0750,-1.0053,-0.1302,-0.1397,-0.0560
4624,-0.0252,-0.0738,-1.0079,-0.3745,-0.8420,-0.0712
4634,-0.0252,-0.0769,-1.0065,-0.5424,-1.2695,-0.0407
4644,-0.0281,-0.0833,-1.0115,-0.7256,-1.3763,-0.1018
4654,-0.0237,-0.0804,-1.0038,-0.8783,-1.2389,-0.1170
4664,-0.0291,-0.0779,-0.9958,-0.7867,-0.5366,-0.2392
4674,-0.0269,-0.0786,-1.0004,-0.6951,0.3031,-0.1934
4684,-0.0318,-0.0779,-1.0096,-0.5424,0.8985,-0.1018
4694,-0.0261,-0.0784,-1.0040,-0.5577,1.1427,-0.0254
4704,-0.0291,-0.0716,-1.0111,-0.6493,0.8832,-0.1018
4714,-0.0217,-0.0696,-1.0057,-0.7715,0.3794,-0.0712
4724,-0.0237,-0.0735,-1.0055,-0.7867,-0.0176,-0.2239
4734,-0.0328,-0.0716,-1.0069,-0.6951,-0.4298,-0.2697
4744,-0.0244,-0.0743,-0.9992,-0.6493,-0.5061,-0.2086
4754,-0.0303,-0.0769,-1.0077,-0.5424,-0.3840,-0.1781
4764,-0.0308,-0.0779,-1.0004,-0.5882,-0.3687,-0.1170
4774,-0.0318,-0.0762,-1.0019,-0.6035,-0.0176,-0.0560
4784,-0.0215,-0.0745,-1.0019,-0.4508,-0.0481,0.0204
4794,-0.0274,-0.0757,-1.0067,-0.4356,-0.2160,-0.0407
4804,-0.0274,-0.0752,-1.0074,-0.3287,-0.3992,-0.0560
4814,-0.0298,-0.0728,-1.0038,-0.2829,-0.4603,-0.1628
4824,-0.0244,-0.0755,-1.0043,-0.2676,-0.4145,-0.2086
4834,-0.0254,-0.0796,-1.0060,-0.0081,-0.2618,-0.1628
4844,-0.0269,-0.0811,-1.0031,0.2209,0.0893,-0.0254
4854,-0.0239,-0.0811,-1.0057,0.4652,0.3183,0.0051
4864,-0.0269,-0.0786,-1.0074,0.5721,0.5015,-0.0560
4874,-0.0274,-0.0823,-1.0115,0.5568,0.5321,-0.1476
4884,-0.0229,-0.0769,-0.9985,0.5110,0.6237,0.0204
4894,-0.0252,-0.0725,-1.0021,0.4347,0.7458,0.0967
4904,-0.0293,-0.0750,-1.0019,0.3736,0.5168,0.1120
4914,-0.0328,-0.0743,-1.0125,0.2209,0.2267,-0.0712
4924,-0.0247,-0.0813,-1.0084,0.1293,0.0893,-0.0102
4934,-0.0306,-0.0838,-1.0096,-0.0539,0.0435,-0.1628
4944,-0.0283,-0.0721,-1.0002,-0.3134,0.0130,-0.1628
4954,-0.0227,-0.0786,-1.0024,-0.4356,-0.1092,-0.1323
4964,-0.0254,-0.0789,-1.0111,-0.5272,-0.3076,-0.0254
4974,-0.0242,-0.0767,-1.0011,-0.5882,-0.3534,0.1425
4984,-0.0276,-0.0733,-1.0140,-0.4814,-0.6435,0.1120
4994,-0.0261,-0.0779,-1.0084,-0.5424,-0.7809,0.0051
5004,-0.0229,-0.0796,-1.0028,-0.5119,-0.7351,0.0051
5014,-0.0283,-0.0794,-1.0045,-0.6035,-0.5214,0.1273
5024,-0.0288,-0.0765,-1.0021,-0.5424,-0.4298,-0.0254
