timestamp_ms,ax,ay,az,gx,gy,gz
3964,-0.1088,0.0197,-0.9922,-0.2932,-0.1106,0.1680
3974,-0.1093,0.0187,-0.9973,-0.2169,0.1184,0.1527
3984,-0.1058,0.0199,-0.9990,-0.0337,0.3169,0.0001
3994,-0.1120,0.0187,-1.0036,-0.0489,0.5306,-0.0915
4004,-0.1130,0.0170,-1.0084,-0.0947,0.5001,-0.1679
4014,-0.1171,0.0185,-1.0048,-0.2016,0.3321,-0.1679
4024,-0.1132,0.0168,-0.9958,-0.2779,0.0726,-0.0457
4034,-0.1130,0.0155,-0.9999,-0.2474,0.0115,-0.0152
4044,-0.1076,0.0134,-1.0045,-0.1863,0.0726,0.1680
4054,-0.1100,0.0153,-0.9973,-0.1711,0.1947,0.1222
4064,-0.1073,0.0163,-1.0099,-0.1863,0.3321,0.0306
4074,-0.1135,0.0153,-1.0009,-0.2169,0.2863,0.0153
4084,-0.1071,0.0160,-1.0011,-0.1558,0.3016,0.0306
4094,-0.1112,0.0163,-1.0024,-0.0184,0.1184,0.0001
4104,-0.1078,0.0148,-1.0016,0.1648,-0.0037,-0.0152
4114,-0.1036,0.0212,-1.0053,0.1343,-0.0190,0.0306
4124,-0.1081,0.0155,-1.0140,0.1037,-0.2175,0.0153
4134,-0.1105,0.0190,-1.0043,0.1037,-0.2327,0.0153
4144,-0.1154,0.0160,-1.0009,0.1495,-0.0953,-0.1221
4154,-0.1176,0.0158,-1.0009,-0.0337,-0.0190,-0.1221
4164,-0.1103,0.0163,-0.9995,-0.0642,0.0268,-0.0610
4174,-0.1112,0.0129,-0.9949,-0.0184,-0.0037,-0.1679
4184,-0.1149,0.0175,-1.0101,0.0274,-0.0801,-0.2442
4194,-0.1135,0.0138,-1.0019,-0.1405,-0.3396,-0.1221
4204,-0.1108,0.0146,-1.0021,-0.1711,-0.5839,-0.0457
4214,-0.1137,0.0182,-1.0024,-0.1711,-0.7366,0.0001
4224,-0.1147,0.0121,-0.9999,-0.0642,-0.5839,-0.0305
4234,-0.1063,0.0180,-0.9992,0.0427,-0.3244,0.0001
4244,-0.1078,0.0146,-0.9978,0.0427,-0.0343,-0.0305
4254,-0.1068,0.0202,-1.0033,0.0732,0.1337,-0.0457
4264,-0.1105,0.0129,-1.0069,0.1343,0.0726,-0.0305
4274,-0.1127,0.0170,-1.0079,0.2106,-0.1106,-0.0610
4284,-0.1137,0.0187,-1.0053,0.1801,-0.2175,-0.0763
4294,-0.1115,0.0146,-1.0021,0.1343,-0.1411,0.0153
4304,-0.1139,0.0170,-1.0038,0.0274,-0.0801,0.0153
4314,-0.1154,0.0131,-0.9956,0.0579,0.0421,0.0001
4324,-0.1132,0.0163,-1.0031,-0.1100,0.2863,0.0153
4334,-0.1122,0.0114,-1.0057,-0.3695,0.3169,0.0306
4344,-0.1117,0.0143,-0.9995,-0.4764,0.3932,0.0001
4354,-0.1108,0.0146,-1.0009,-0.5833,0.3627,-0.0457
4364,-0.1108,0.0168,-0.9968,-0.6291,0.2100,-0.0763
4374,-0.1135,0.0148,-0.9997,-0.3848,0.1642,-0.0610
4384,-0.1103,0.0158,-0.9995,-0.2169,0.1642,-0.1221
4394,-0.1117,0.0209,-1.0021,-0.0795,0.1642,0.0153
4404,-0.1081,0.0207,-1.0045,-0.1253,0.0268,0.0459
4414,-0.1152,0.0136,-1.0077,-0.3543,0.0268,0.0611
4424,-0.1088,0.0102,-1.0077,-0.7207,0.0268,0.0306
4434,-0.1090,0.0146,-1.0072,-0.7818,-0.1106,-0.0610
4444,-0.1110,0.0173,-0.9963,-0.4611,-0.0190,0.0459
4454,-0.1132,0.0185,-0.9963,-0.0337,-0.2633,0.0153
4464,-0.1120,0.0219,-1.0065,0.3785,-0.4465,0.0611
4474,-0.1088,0.0173,-0.9963,0.6992,-0.6602,0.0764
4484,-0.1105,0.0177,-0.9990,0.8213,-0.7518,-0.0152
4494,-0.1142,0.0141,-1.0053,0.7450,-0.7213,-0.2289
4504,-0.1105,0.0160,-1.0060,0.6076,-0.7366,-0.1373
4514,-0.1152,0.0114,-0.9995,0.3175,-0.5534,-0.2137
4524,-0.1147,0.0158,-1.0014,-0.0031,-0.4465,-0.1526
4534,-0.1157,0.0126,-0.9995,0.0732,-0.2327,-0.0915
4544,-0.1159,0.0134,-0.9939,0.2869,0.0115,-0.1068
4554,-0.1184,0.0138,-1.0021,0.3938,0.0268,0.0001
4564,-0.1095,0.0131,-1.0069,0.5160,-0.0037,0.1069
4574,-0.1164,0.0224,-1.0079,0.4702,-0.0190,0.1375
4584,-0.1105,0.0243,-1.0077,0.3022,0.0879,0.1375
4594,-0.1117,0.0146,-1.0094,-0.0031,0.1795,0.1375
4604,-0.1100,0.0153,-1.0050,-0.1253,0.2711,0.0611
4614,-0.1184,0.0141,-1.0067,-0.2627,0.3016,0.0001
4624,-0.1125,0.0158,-0.9980,-0.3543,0.4543,0.0459
4634,-0.1112,0.0175,-0.9949,-0.2779,0.3321,0.1222
4644,-0.1076,0.0155,-0.9992,-0.0642,0.2405,0.1222
4654,-0.1088,0.0185,-1.0019,0.1037,0.2558,0.0153
4664,-0.1093,0.0138,-1.0072,0.3175,0.1795,-0.0152
4674,-0.1135,0.0177,-1.0060,0.2411,0.1489,-0.1068
4684,-0.1100,0.0121,-1.0038,0.0732,0.1031,-0.1373
4694,-0.1144,0.0160,-1.0033,-0.0795,0.0268,-0.1373
4704,-0.1149,0.0153,-1.0036,-0.0489,-0.2175,-0.1221
4714,-0.1147,0.0136,-1.0048,-0.2169,-0.2022,-0.0457
4724,-0.1149,0.0153,-1.0031,-0.1100,-0.2175,-0.0305
4734,-0.1066,0.0134,-1.0011,-0.0184,-0.2022,-0.0457
4744,-0.1127,0.0138,-1.0016,0.0274,-0.2022,-0.0763
4754,-0.1127,0.0143,-0.9975,0.0885,-0.1564,-0.0152
4764,-0.1108,0.0185,-1.0011,0.1190,-0.1564,-0.0305
4774,-0.1115,0.0141,-1.0004,0.1801,-0.0801,-0.0152
4784,-0.1127,0.0155,-0.9939,0.2869,0.0879,-0.0763
4794,-0.1149,0.0126,-1.0045,0.2717,0.1184,-0.0915
4804,-0.1120,0.0126,-1.0028,0.2411,0.1337,-0.1221
4814,-0.1149,0.0141,-1.0004,0.0732,0.1337,0.0001
4824,-0.1157,0.0180,-1.0048,-0.0184,0.1489,0.0001
4834,-0.1181,0.0182,-1.0002,-0.0031,0.1642,-0.0152
4844,-0.1130,0.0163,-1.0074,0.0274,0.1184,0.0001
4854,-0.1117,0.0165,-1.0040,-0.0795,0.0268,0.0764
4864,-0.1108,0.0153,-1.0002,-0.0795,0.0268,0.0611
4874,-0.1127,0.0199,-0.9965,-0.2321,0.1795,0.1069
4884,-0.1103,0.0134,-1.0016,-0.2779,0.2863,0.0153
4894,-0.1093,0.0138,-1.0007,-0.2932,0.3932,0.0764
4904,-0.1103,0.0136,-0.9970,-0.2627,0.2253,0.0764
4914,-0.1068,0.0195,-1.0007,-0.1100,0.1795,0.1527
