timestamp_ms,ax,ay,az,gx,gy,gz
3964,0.0065,0.0148,0.9977,0.0606,0.0488,-0.0639
3974,0.0099,0.0136,0.9946,0.0453,0.0335,-0.0792
3984,0.0070,0.0160,0.9956,0.0606,0.0182,-0.0639
3994,0.0099,0.0143,0.9953,0.0148,0.0640,0.0277
4004,0.0065,0.0148,0.9965,0.0453,-0.0123,0.0430
4014,0.0077,0.0138,0.9985,-0.0005,0.0030,-0.0028
4024,0.0055,0.0063,0.9992,-0.0463,0.0182,-0.0639
4034,0.0070,0.0043,0.9944,0.0148,0.0488,-0.0334
4044,0.0023,0.0102,1.0014,0.0301,0.0182,0.0582
4054,0.0045,0.0104,1.0023,0.0301,0.0640,0.0124
4064,0.0070,0.0146,1.0016,0.0453,-0.0123,-0.0639
4074,0.0048,0.0097,0.9970,0.0453,0.0182,0.0124
4084,0.0038,0.0143,0.9982,-0.0463,-0.0581,-0.0028
4094,0.0048,0.0136,0.9963,-0.0463,-0.0886,0.0582
4104,0.0038,0.0136,0.9970,-0.1073,-0.0276,0.0430
4114,0.0048,0.0107,1.0018,-0.0768,-0.0581,-0.0028
4124,0.0050,0.0121,1.0026,-0.0463,-0.0123,0.0124
4134,0.0060,0.0116,0.9999,-0.0157,0.0335,-0.0639
4144,0.0038,0.0119,1.0009,-0.0615,0.0640,0.0277
4154,0.0080,0.0141,1.0004,-0.0463,-0.0428,-0.0639
4164,0.0067,0.0097,0.9975,-0.0768,-0.0581,-0.0486
4174,0.0107,0.0099,0.9963,0.0606,-0.0123,-0.0028
4184,0.0040,0.0077,1.0004,-0.0310,0.0335,-0.0028
4194,0.0043,0.0107,1.0028,0.1064,0.0793,0.0277
4204,0.0028,0.0104,1.0028,0.1064,0.0640,0.0430
4214,0.0023,0.0116,0.9997,0.0759,0.0488,0.0430
4224,0.0055,0.0109,0.9946,-0.0310,0.0335,-0.0181
4234,0.0055,0.0131,1.0016,0.0759,0.0640,-0.1250
4244,0.0053,0.0170,0.9944,0.0453,0.0030,0.0277
4254,0.0035,0.0107,1.0018,-0.0921,-0.0428,-0.0334
4264,0.0038,0.0138,1.0004,-0.0310,0.0488,0.0430
4274,0.0045,0.0146,0.9936,-0.0157,-0.0123,-0.0028
4284,0.0048,0.0134,1.0031,-0.0157,-0.0581,-0.0639
4294,0.0055,0.0134,1.0038,-0.0463,-0.0428,-0.0181
4304,0.0094,0.0143,0.9975,-0.0310,-0.0276,0.0124
4314,0.0075,0.0112,0.9953,-0.0615,0.0030,-0.0639
4324,0.0062,0.0138,0.9939,-0.0005,0.0488,-0.0486
4334,0.0077,0.0155,0.9982,-0.0005,-0.0123,-0.0334
4344,0.0067,0.0109,0.9948,-0.0615,-0.0581,-0.0181
4354,0.0082,0.0129,1.0023,-0.0463,-0.0123,0.1040
4364,0.0065,0.0126,0.9960,-0.0005,0.0030,0.0430
4374,0.0070,0.0116,0.9931,-0.0005,0.0335,0.0582
4384,0.0030,0.0109,0.9965,-0.0005,0.1098,0.0430
