timestamp_ms,ax,ay,az,gx,gy,gz
11556,-0.0031,0.0192,1.0033,-0.0565,-0.7505,-0.0005
11566,-0.0063,0.0146,0.9973,-0.0412,-0.7047,0.0148
11576,-0.0038,0.0114,1.0043,-0.1328,-1.1016,0.0759
11586,0.0004,0.0092,0.9987,-0.1634,-1.3001,0.1217
11596,0.0114,0.0077,0.9956,-0.2092,-1.3917,-0.0463
11606,0.0072,0.0090,0.9956,-0.1328,-1.0558,-0.1073
11616,0.0035,0.0136,1.0023,-0.1328,-0.7047,-0.1073
11626,0.0104,0.0092,0.9973,-0.1634,-0.4909,-0.1073
11636,0.0062,0.0158,0.9980,-0.0107,-0.2772,-0.1684
11646,-0.0058,0.0131,1.0064,0.0198,-0.5520,-0.0310
11656,0.0156,0.0168,0.9927,-0.0260,-1.0558,-0.0921
11666,0.0030,0.0158,1.0009,-0.2397,-1.3001,-0.3363
11676,0.0045,0.0182,0.9898,-0.2702,-1.1474,-0.1684
11686,0.0040,0.0102,0.9958,-0.1786,-0.6894,-0.1073
11696,-0.0038,0.0195,0.9999,-0.1176,-0.3382,-0.1226
11706,0.0018,0.0155,1.0057,-0.0260,-0.4604,-0.0768
11716,0.0080,0.0124,0.9989,-0.0870,-0.5367,-0.1073
11726,0.0033,0.0138,1.0035,-0.1786,-1.0253,-0.2295
11736,0.0119,0.0087,0.9989,-0.2092,-1.1474,-0.2753
11746,0.0053,0.0141,1.0038,-0.2244,-1.0405,-0.1531
11756,0.0131,0.0148,0.9951,-0.1328,-1.1169,-0.0768
11766,0.0030,0.0116,0.9977,-0.1481,-0.8726,-0.1379
11776,0.0013,0.0102,0.9953,-0.0870,-0.5978,-0.0615
11786,-0.0068,0.0155,1.0021,-0.0718,-0.5367,-0.0615
11796,0.0006,0.0112,1.0026,-0.1176,-0.8726,-0.0615
11806,0.0180,0.0068,0.9994,-0.1176,-1.0100,-0.0310
11816,0.0048,0.0151,0.9980,-0.1939,-0.9031,-0.1073
11826,0.0013,0.0099,0.9963,-0.1481,-1.2848,-0.2142
11836,0.0057,0.0107,1.0033,-0.1786,-1.4222,-0.2753
11846,0.0153,0.0146,0.9944,-0.1786,-1.2390,-0.2905
11856,0.0126,0.0126,0.9997,-0.1634,-0.9337,-0.1684
11866,0.0023,0.0163,0.9951,-0.1939,-0.8573,-0.1837
11876,0.0070,0.0151,1.0079,-0.1634,-0.7657,-0.0921
11886,-0.0001,0.0148,0.9965,-0.0870,-0.7963,-0.1226
11896,0.0109,0.0134,0.9999,-0.2244,-0.8573,-0.0310
11906,0.0148,0.0195,0.9997,-0.0870,-0.2924,0.0301
11916,0.1164,0.0085,0.9644,-0.1481,0.6389,-0.0157
11926,-0.0536,0.0121,1.0161,0.1420,3.1885,0.1675
11936,-0.0573,0.0175,1.0120,0.1573,1.1885,0.1522
11946,0.0506,0.0087,0.9869,-0.1634,-1.6970,0.0301
11956,0.0465,0.0131,0.9898,-0.0718,-0.7199,-0.0157
11966,-0.0200,0.0170,1.0028,0.0809,0.5931,0.0301
11976,0.0018,0.0131,1.0038,0.0504,-0.2008,0.0606
11986,0.0175,0.0148,1.0028,-0.0260,-0.7047,-0.0005
11996,-0.0001,0.0131,1.0009,-0.1481,-0.6589,0.1217
12006,0.0131,0.0143,0.9927,-0.1786,-0.7963,0.0453
12016,0.0165,0.0168,0.9965,-0.0260,-0.5520,0.0759
12026,0.0057,0.0134,1.0043,0.0656,-0.2619,-0.0005
12036,-0.0016,0.0163,1.0014,-0.0565,-0.3840,-0.0615
12046,0.0116,0.0158,0.9982,-0.1023,-0.6436,-0.0463
12056,0.0136,0.0141,0.9997,-0.1176,-0.6283,-0.0157
12066,0.0050,0.0158,1.0016,-0.1328,-0.3993,0.0453
12076,0.0028,0.0116,0.9975,-0.0565,-0.3688,-0.0005
12086,0.0055,0.0077,0.9999,-0.0565,-0.5215,0.0453
12096,0.0067,0.0092,0.9953,-0.0718,-0.5520,0.0148
12106,0.0077,0.0048,1.0002,-0.0260,-0.4146,-0.0157
12116,0.0097,0.0073,0.9931,0.0198,-0.2924,-0.0005
12126,0.0082,0.0082,1.0023,0.0198,-0.0329,-0.0615
12136,0.0043,0.0131,1.0018,0.0046,0.0740,-0.1379
12146,0.0089,0.0163,0.9970,0.0046,-0.2314,-0.1226
12156,0.0116,0.0121,0.9953,0.0046,-0.2008,-0.1379
12166,0.0018,0.0187,1.0023,-0.0412,-0.0787,-0.1837
12176,0.0072,0.0131,0.9968,-0.1786,-0.1703,-0.1379
12186,0.0062,0.0148,0.9912,-0.0565,-0.3993,-0.1684
12196,0.0057,0.0129,1.0004,-0.0870,-0.4451,-0.1379
12206,0.0033,0.0134,1.0011,-0.0565,-0.3840,-0.1073
12216,0.0094,0.0097,0.9958,-0.0565,-0.3840,-0.1226
12226,0.0070,0.0114,0.9946,0.0046,-0.2466,-0.0005
12236,0.0107,0.0148,0.9994,-0.0412,-0.2466,-0.0157
12246,0.0104,0.0126,0.9968,-0.0412,-0.3993,0.0301
12256,0.0067,0.0082,1.0006,-0.1176,-0.4146,0.0606
12266,0.0075,0.0129,1.0016,-0.1023,-0.2772,-0.0157
12276,0.0023,0.0114,1.0038,-0.0565,-0.2466,-0.0005
12286,0.0119,0.0160,0.9946,-0.1023,-0.2924,-0.0615
12296,0.0075,0.0112,1.0021,-0.0107,-0.1398,-0.0463
12306,-0.0033,0.0116,1.0002,-0.0260,-0.2466,-0.0463
12316,0.0163,0.0119,0.9977,-0.0260,-0.4146,-0.0615
12326,0.0084,0.0134,1.0045,0.0198,-0.1703,-0.0615
12336,0.0028,0.0141,0.9997,0.0198,-0.1856,-0.0005
12346,0.0067,0.0136,0.9968,-0.0412,-0.4298,0.0453
12356,0.0065,0.0163,0.9929,-0.0412,-0.5367,0.0148
12366,0.0114,0.0153,0.9980,-0.0260,-0.4909,-0.0157
12376,0.0151,0.0124,0.9989,-0.0260,-0.3993,-0.1073
12386,0.0099,0.0112,1.0002,-0.0565,-0.2008,-0.0921
12396,0.0320,-0.0057,1.0316,0.0656,0.2114,-0.1379
12406,0.0165,0.0224,0.9922,0.4168,0.9442,-0.3058
12416,0.0062,0.0092,1.0035,0.4168,1.6465,-0.1379
12426,-0.0176,0.0121,0.9985,0.4626,1.7839,-0.0615
12436,-0.0168,0.0190,0.9987,0.3405,0.7915,-0.0463
12446,0.0070,0.0124,1.0048,0.0351,-0.5673,-0.0463
12456,0.0290,0.0070,0.9893,-0.1176,-0.8115,-0.1073
12466,0.0371,0.0031,1.0168,-0.0565,-0.0024,-0.1837
12476,0.0332,0.0043,1.0018,0.4168,1.2190,-0.4737
12486,0.0053,0.0019,1.0118,0.9664,2.6694,-0.6875
12496,-0.0404,0.0163,1.0062,1.5313,2.9137,-0.6875
12506,-0.0252,0.0490,0.9588,1.4244,1.4938,-0.5348
12516,-0.0068,0.0021,1.0236,0.0198,-0.2772,-0.2753
12526,0.0178,0.0197,0.9982,-0.0565,-1.1932,-0.1684
12536,0.0160,0.0112,0.9956,-0.1176,-0.6436,-0.0768
12546,-0.0001,0.0143,0.9985,-0.1176,-0.0024,-0.0615
