timestamp_ms,ax,ay,az,gx,gy,gz
8606,0.0030,0.0107,0.9982,0.0792,0.3017,-0.0236
8616,0.0072,0.0148,0.9963,0.0792,0.2559,0.0222
8626,-0.0031,0.0126,0.9956,0.0334,0.0727,0.0527
8636,0.0040,0.0155,0.9931,-0.0735,-0.1869,-0.0236
8646,0.0026,0.0116,0.9960,-0.1346,-0.4617,-0.0694
8656,0.0099,0.0141,1.0011,-0.1804,-0.4464,0.0833
8666,0.0072,0.0136,1.0033,-0.1346,-0.2327,0.0985
8676,0.0107,0.0148,1.0038,-0.0888,-0.0647,0.0833
8686,0.0057,0.0063,0.9965,0.0028,0.0727,0.0527
8696,0.0040,0.0102,0.9946,0.0486,0.2864,-0.0083
8706,0.0038,0.0134,0.9973,0.0334,0.2101,-0.0083
8716,0.0060,0.0119,0.9941,0.0181,0.0269,0.0833
8726,0.0109,0.0114,1.0023,0.0181,0.1032,0.0222
8736,0.0038,0.0165,0.9960,0.1708,0.3627,0.0527
8746,-0.0080,0.0153,0.9968,0.0486,0.2864,-0.0236
8756,0.0021,0.0126,1.0035,-0.0582,-0.1105,-0.0236
8766,0.0075,0.0121,0.9958,-0.0888,-0.4769,0.0680
8776,0.0040,0.0138,0.9970,-0.1193,-0.4159,0.0527
8786,0.0008,0.0151,0.9970,-0.0888,-0.5533,0.0375
8796,0.0133,0.0153,1.0045,-0.2109,-0.7365,-0.0389
8806,0.0131,0.0080,1.0016,-0.2262,-0.4464,-0.0541
8816,0.0131,0.0060,1.0038,0.0028,0.1795,-0.0389
8826,-0.0070,0.0151,0.9975,0.1555,0.4696,0.0222
8836,-0.0119,0.0148,1.0016,0.0792,-0.0189,-0.0236
8846,-0.0119,0.0197,0.9934,-0.2109,-1.0724,-0.0236
8856,-0.0075,0.0155,0.9900,-0.4705,-2.1563,0.0680
8866,0.0065,0.0182,1.0023,-0.5926,-3.0266,0.0527
8876,0.0168,0.0087,1.0060,-0.7300,-3.1334,0.0680
8886,-0.0043,0.0180,0.9987,-0.7758,-2.6296,0.0680
8896,-0.0227,0.0170,0.9960,-0.7147,-3.1182,-0.0236
8906,-0.0026,0.0153,1.0021,-1.0048,-4.5227,0.0527
8916,0.0187,0.0126,1.0028,-1.1422,-5.3166,0.1291
8926,0.0168,0.0143,0.9992,-1.1727,-5.3166,-0.0083
8936,-0.2010,0.0011,1.0135,-0.1193,1.2330,-1.3976
8946,-0.3361,0.0326,1.0006,1.2242,4.7139,1.1825
8956,-0.1929,0.0138,1.0471,0.3234,0.0727,7.5795
8966,-0.1502,0.0116,1.0089,0.6593,0.4696,12.7550
8976,-0.0470,-0.0069,0.9898,0.9036,0.3933,15.9306
8986,-0.0315,-0.0057,0.9774,1.1326,0.9276,16.2818
8996,-0.0131,-0.0359,1.0292,0.8273,1.1414,14.9535
9006,0.0381,-0.0152,0.9907,0.6746,0.0269,12.4344
9016,0.0788,-0.0125,1.0009,0.4761,0.2559,9.6100
9026,0.1271,0.0070,0.9856,0.2318,-0.9960,6.9535
9036,0.1019,0.0021,0.9861,0.0639,-0.8586,4.9993
9046,0.1051,-0.0006,0.9830,0.0639,-0.8128,3.8543
9056,0.0060,0.0029,0.9973,0.0792,-0.0037,2.9840
9066,-0.0144,0.0536,0.9919,0.3540,0.2559,4.6024
9076,0.0548,0.0439,0.9941,-0.2415,-1.4998,6.0222
9086,0.0749,0.0492,0.9965,-0.1193,-0.9960,6.5260
9096,0.0381,0.0482,0.9876,0.2624,-0.0342,6.6634
9106,0.0700,0.0231,0.9946,0.0181,-1.1792,6.2512
9116,0.0452,0.0131,0.9888,0.2471,-0.7060,4.5871
9126,0.0712,-0.0023,0.9948,-0.4857,-1.9426,2.3428
9136,0.0303,-0.0003,0.9917,-0.4399,-1.3930,0.2360
9146,0.0631,0.0094,1.0045,-0.4705,-2.0647,-1.4282
9156,0.0644,0.0004,0.9951,-0.5773,-1.5915,-3.8862
9166,0.0619,-0.0040,0.9956,-0.3636,0.6834,-6.9244
9176,0.0001,0.0146,0.9999,-0.2873,1.1872,-10.0694
9186,0.0018,0.0102,1.0089,-0.5621,0.8971,-11.2144
9196,0.0732,0.0319,0.9946,-0.4399,0.4085,-12.1152
9206,0.1210,0.0075,1.0057,-0.8979,-0.2937,-15.7335
9216,0.0489,0.0168,0.9987,-0.8674,0.5460,-20.9244
9226,0.0256,0.0129,0.9931,-1.0811,1.2635,-24.1305
9236,-0.1027,0.0246,0.9968,-0.9285,2.0269,-25.0007
9246,-0.0980,0.0090,1.0137,-0.9437,0.7750,-19.9014
9256,-0.0359,-0.0079,1.0052,-0.7911,0.0727,-11.6419
9266,-0.0803,0.0121,0.9931,0.1250,1.2635,-4.4816
9276,-0.0323,0.0048,1.0159,0.3387,0.9582,2.3123
9286,-0.0274,-0.0132,1.0118,0.3845,0.7139,6.3581
9296,-0.0023,0.0119,0.9934,0.7662,0.5460,9.3963
9306,-0.0104,-0.0191,1.0144,0.7051,0.5154,11.6863
9316,-0.0016,-0.0047,1.0023,0.8731,0.6834,12.9230
9326,-0.0080,0.0051,0.9873,0.7662,-0.6907,13.2436
9336,-0.0754,-0.0101,1.0033,0.7662,0.2406,13.9917
9346,-0.0671,0.0112,1.0079,0.8883,0.4849,15.5795
9356,-0.0325,0.0131,1.0164,0.7967,-0.0037,16.8314
9366,0.0317,0.0251,0.9960,0.6898,-0.9502,16.6329
9376,0.0489,0.0165,0.9830,0.4303,-1.6983,14.8466
9386,0.0337,0.0055,0.9968,0.1402,-2.0495,12.8466
9396,0.0121,0.0090,1.0006,0.3082,-0.6602,11.8543
9406,-0.0028,0.0253,1.0081,0.4761,0.1490,11.1062
9416,0.0683,0.0378,0.9852,0.4303,-0.3395,10.3886
9426,0.1115,0.0307,0.9934,0.1250,-1.0876,7.9001
9436,0.1080,0.0148,0.9922,-0.2262,-1.0266,3.7779
9446,0.0997,0.0065,0.9987,-0.5010,-1.0876,-1.6114
9456,0.0374,0.0146,1.0048,-0.3789,0.1032,-6.8022
9466,-0.0283,0.0107,0.9907,-0.4705,0.4391,-9.8251
9476,-0.0438,0.0102,1.0014,-0.6689,-0.5227,-10.3442
9486,-0.0296,0.0073,0.9968,-0.4705,-0.0037,-8.8022
9496,-0.0112,0.0080,1.0014,-0.3331,0.3933,-7.0923
9506,0.0072,0.0158,1.0106,-0.3025,0.0879,-6.2526
9516,-0.0431,0.0295,1.0021,0.0792,1.2635,-5.4587
9526,0.0001,0.0107,1.0185,-0.1651,0.4696,-3.1228
9536,0.0077,0.0214,0.9893,-0.1498,-0.5533,-0.6801
9546,0.0766,-0.0025,1.0125,-0.3636,-1.3777,1.5489
9556,0.0013,0.0136,1.0016,0.3082,0.2406,2.3276
9566,-0.0028,0.0063,1.0002,0.2318,0.4085,3.5489
9576,0.0053,0.0258,0.9852,0.2776,-0.1411,4.8924
9586,0.0097,0.0173,1.0028,0.2013,-0.5685,6.6634
9596,0.0622,0.0068,0.9881,0.3387,-0.1258,7.6863
