timestamp_ms,ax,ay,az,gx,gy,gz
69206,0.0045,0.0219,0.9948,0.0745,-0.1369,-0.0626
69216,-0.0001,0.0163,0.9963,0.0287,-0.1064,-0.0321
69226,0.0060,0.0148,1.0009,-0.0018,-0.1675,0.1206
69236,0.0087,0.0119,0.9890,0.0287,-0.1217,0.1053
69246,0.0045,0.0175,0.9970,0.1356,-0.0301,0.0443
69256,0.0008,0.0112,0.9953,-0.0018,0.0921,-0.0015
69266,0.0008,0.0155,0.9977,0.0134,0.0310,-0.0168
69276,0.0018,0.0182,0.9987,0.0592,0.0310,-0.0779
69286,-0.0043,0.0148,0.9958,0.0898,0.0615,0.0595
69296,0.0004,0.0168,1.0011,0.0440,-0.0301,-0.0015
69306,-0.0043,0.0221,0.9997,0.0287,0.0157,0.0748
69316,-0.0028,0.0195,0.9992,0.0287,-0.0606,0.1206
69326,-0.0011,0.0195,0.9968,-0.0629,-0.1064,-0.0015
69336,0.0057,0.0165,0.9982,-0.0934,-0.2133,0.0137
69346,0.0043,0.0175,1.0055,-0.0324,-0.0453,0.0137
69356,0.0030,0.0158,0.9965,0.0134,0.0921,0.0137
69366,0.0035,0.0209,0.9963,0.0134,0.2142,-0.0168
69376,-0.0011,0.0190,0.9951,-0.0018,0.1837,-0.0015
69386,0.0040,0.0138,1.0040,-0.0171,0.0157,-0.0321
69396,0.0021,0.0175,0.9958,-0.0324,-0.0453,0.0748
69406,0.0033,0.0155,0.9929,-0.0629,0.0463,-0.0168
69416,0.0045,0.0170,0.9973,0.1050,0.1531,-0.0931
69426,-0.0041,0.0177,0.9939,0.0440,0.2753,0.0137
69436,-0.0009,0.0173,0.9985,0.0134,0.0921,-0.0168
69446,0.0099,0.0165,0.9982,0.0134,0.0157,0.0443
69456,0.0092,0.0175,0.9982,0.0592,0.1837,-0.0779
69466,0.0001,0.0170,1.0026,0.0745,0.4127,-0.0015
69476,0.0097,0.0165,0.9982,0.1203,0.4737,-0.0626
69486,-0.0011,0.0134,1.0038,0.1050,0.0157,-0.0321
69496,0.0057,0.0131,1.0006,0.1508,0.0768,-0.0931
69506,0.0082,0.0143,0.9989,0.1050,0.2295,-0.1389
69516,0.0111,0.0131,1.0021,0.1966,0.5501,-0.2000
69526,0.0133,0.0202,0.9977,0.3035,0.9928,-0.1695
69536,0.0450,0.0282,0.9665,0.4409,-1.0072,-0.5969
69546,0.0082,0.0277,0.9859,0.3951,-3.7247,-1.3450
69556,0.0575,0.0024,1.0168,0.0440,-4.5186,-1.2534
69566,0.0904,-0.0269,0.9914,0.0898,-3.7553,-0.2916
69576,0.1585,-0.0276,1.0069,0.1203,-2.5797,1.3420
69586,0.1438,-0.0298,0.9856,0.0134,-1.1293,2.8992
69596,0.2203,-0.0098,0.9970,0.0898,-1.9385,4.3954
69606,0.2441,-0.0123,0.9866,0.0134,-1.1598,5.4794
69616,0.2429,-0.0103,1.0093,-0.0476,0.7791,6.9756
69626,0.2983,-0.0262,0.9716,0.1050,1.6035,7.0977
69636,0.3028,0.0004,0.9668,0.5325,1.3134,5.7847
69646,0.3175,0.0168,1.0074,0.4562,0.7027,4.6855
69656,0.2530,-0.0074,1.0110,0.5020,0.9928,3.4641
69666,0.2174,-0.0379,0.9607,0.5936,2.1531,3.0519
69676,0.2618,-0.0535,0.9883,0.0745,-0.9156,4.5786
69686,0.4126,0.1046,1.0889,0.9142,-0.2896,5.3878
69696,-0.0352,-0.0128,0.8374,2.4256,12.1226,-0.1389
69706,0.1227,0.0648,0.9607,1.9371,13.3898,1.8763
69716,-0.3771,0.2442,1.7408,-4.0018,38.8554,-9.9405
69726,-0.8519,0.1639,0.9416,-5.3911,93.5272,-27.8031
69736,-0.7033,-0.1223,0.5660,-6.2461,118.9623,-28.0931
69746,-1.0189,0.0568,0.5532,-0.2308,97.8173,-13.1008
69756,-0.7298,-0.1677,0.7709,-2.6125,51.2676,-3.6351
69766,-0.5373,0.0705,0.7123,0.0592,2.8860,-1.2229
69776,-0.0757,-0.0943,1.2890,1.5707,-34.2285,-1.5740
69786,0.0099,0.0575,1.0476,6.5478,-48.6408,-3.5588
69796,0.2721,0.0668,1.1591,6.1203,-44.5186,-3.4519
69806,-0.0146,0.2989,0.7283,2.3646,-13.5721,-1.4824
69816,-0.1735,-0.0662,1.0877,-4.4446,7.6493,0.3649
69826,-0.2120,-0.0342,0.9956,-3.0858,7.2371,0.6092
69836,-0.1137,-0.0269,1.0282,-0.5362,0.1684,0.3344
69846,0.0033,0.0141,0.9847,1.1127,-3.7858,0.0595
69856,-0.0060,0.0099,0.9791,0.7005,-2.2133,-0.1847
69866,-0.0617,-0.0045,0.9975,-0.0476,0.0463,-0.2153
69876,-0.0617,-0.0010,1.0014,0.0134,0.1073,-0.2611
69886,-0.0328,0.0175,0.9919,0.4867,-1.0988,-0.2916
69896,-0.0176,0.0219,0.9876,0.6241,-1.5415,-0.3069
69906,-0.0144,0.0234,0.9815,0.4409,-0.9766,-0.1237
69916,-0.0203,0.0185,0.9878,0.4562,-0.3049,-0.0473
69926,-0.0225,0.0231,0.9994,0.4867,0.1073,-0.0779
69936,-0.0342,0.0234,1.0009,0.2882,0.2753,-0.0321
69946,-0.0369,0.0182,0.9869,0.2119,0.2600,-0.1084
69956,-0.0374,0.0268,0.9970,0.2882,0.2142,-0.1389
69966,-0.0436,0.0297,0.9941,0.1814,0.1989,-0.1389
69976,-0.0536,0.0317,1.0009,0.0898,0.2600,-0.0931
69986,-0.0590,0.0251,0.9994,-0.0171,0.2142,-0.0473
69996,-0.0590,0.0216,0.9946,-0.0324,0.1073,0.0901
70006,-0.0605,0.0185,0.9977,-0.0324,0.1684,0.1359
70016,-0.0683,0.0109,1.0069,-0.1392,0.1837,0.1969
70026,-0.0678,0.0099,1.0031,-0.0324,0.0615,0.1664
70036,-0.0646,0.0068,0.9946,-0.1240,-0.0453,0.0443
70046,-0.0551,0.0021,0.9973,-0.0324,-0.2591,0.0290
70056,-0.0489,0.0087,0.9960,0.0440,-0.4270,-0.1084
70066,-0.0460,0.0192,0.9953,0.1966,-0.2896,-0.0626
70076,-0.0465,0.0192,1.0028,0.1203,-0.1217,-0.0321
70086,-0.0409,0.0216,1.0031,0.0745,-0.2285,-0.0015
70096,-0.0328,0.0238,0.9948,0.0898,-0.1217,-0.0321
70106,-0.0359,0.0241,0.9929,0.0898,0.0463,0.0595
70116,-0.0382,0.0238,0.9927,0.0287,0.2142,0.1053
70126,-0.0347,0.0226,0.9953,-0.0629,0.4890,-0.0321
70136,-0.0384,0.0290,0.9965,-0.1698,0.6264,-0.0626
70146,-0.0450,0.0253,0.9963,-0.1698,0.5959,-0.0779
70156,-0.0499,0.0253,0.9922,-0.2614,0.6264,-0.0473
70166,-0.0539,0.0180,0.9914,-0.2308,0.7180,0.0290
70176,-0.0617,0.0124,0.9941,-0.2766,0.8096,0.1664
70186,-0.0583,0.0112,1.0002,-0.3377,0.7333,0.1969
70196,-0.0646,0.0092,0.9866,-0.4751,0.7180,0.2122
