timestamp_ms,ax,ay,az,gx,gy,gz
45626,0.0043,0.0153,0.9980,-0.0058,0.0716,-0.0598
45636,0.0048,0.0158,0.9948,-0.0363,-0.0505,-0.0140
45646,0.0053,0.0155,0.9936,-0.0211,0.0411,-0.0292
45656,0.0070,0.0116,0.9973,-0.0058,0.0258,0.0166
45666,0.0028,0.0121,1.0031,0.0095,0.0411,0.1082
45676,0.0033,0.0158,0.9992,-0.0058,0.0258,0.0776
45686,0.0055,0.0138,0.9963,-0.0669,0.0716,0.0166
45696,0.0045,0.0173,1.0002,-0.0211,0.0258,0.0318
45706,0.0048,0.0131,0.9999,-0.0058,-0.0200,0.0624
45716,0.0043,0.0138,1.0014,-0.0211,-0.0047,-0.0140
45726,0.0045,0.0136,0.9968,-0.0058,0.0105,-0.0292
45736,0.0040,0.0158,1.0009,0.0247,-0.0353,-0.0292
45746,0.0062,0.0146,0.9975,0.0095,0.0258,0.0013
45756,0.0038,0.0141,0.9992,-0.0669,-0.0353,-0.0140
45766,0.0013,0.0114,1.0004,0.0553,-0.0353,-0.0445
45776,0.0043,0.0163,1.0021,0.1163,-0.0047,-0.0445
45786,0.0021,0.0114,0.9960,0.0095,0.0563,0.0624
45796,0.0028,0.0148,1.0035,-0.0211,-0.0505,0.0166
45806,0.0062,0.0124,0.9982,0.0095,-0.1116,-0.0598
45816,0.0001,0.0160,1.0002,-0.1127,-0.0200,0.0166
45826,0.0048,0.0131,0.9973,0.0095,-0.0047,0.0471
45836,0.0092,0.0129,0.9997,0.0400,-0.0200,0.0471
45846,0.0006,0.0155,1.0040,-0.0516,-0.0047,-0.0140
45856,0.0026,0.0138,0.9963,-0.0058,-0.0658,0.0166
45866,0.0048,0.0175,0.9970,-0.0821,0.0105,0.0776
45876,0.0072,0.0163,0.9946,-0.0516,0.0716,0.0471
45886,0.0038,0.0129,1.0038,0.0553,0.0869,-0.0598
45896,0.0048,0.0102,0.9980,0.1011,0.0105,-0.0445
45906,0.0030,0.0134,0.9994,0.0095,-0.0200,-0.0903
45916,0.0053,0.0131,1.0021,0.0095,0.0258,-0.0903
45926,0.0021,0.0143,0.9956,0.0400,-0.0811,-0.0140
45936,0.0006,0.0097,0.9970,0.0400,0.0258,0.0166
45946,0.0053,0.0124,0.9944,-0.0058,0.0258,-0.0598
45956,0.0038,0.0148,1.0004,-0.0211,0.0258,-0.0140
45966,0.0028,0.0173,1.0018,-0.0058,-0.0811,0.0013
45976,0.0018,0.0121,0.9977,0.0247,0.0258,0.0166
45986,0.0021,0.0163,0.9973,0.0400,0.0105,0.0318
45996,0.0043,0.0182,1.0035,-0.0516,0.0716,-0.0140
46006,0.0028,0.0151,0.9948,-0.0058,0.1174,-0.0292
46016,0.0050,0.0129,0.9994,-0.0211,0.0869,-0.0598
46026,0.0057,0.0158,1.0038,0.0247,0.0258,-0.0292
46036,0.0026,0.0109,0.9980,0.0247,0.0105,0.0166
46046,0.0021,0.0148,0.9953,0.0705,-0.0047,0.0776
46056,0.0021,0.0114,0.9975,0.0553,-0.0505,-0.0598
46066,0.0026,0.0114,0.9977,0.0400,-0.0658,-0.0140
46076,0.0035,0.0092,1.0033,-0.0058,-0.0047,-0.0140
46086,0.0030,0.0136,1.0009,-0.0211,0.0411,-0.0292
46096,0.0008,0.0143,1.0014,0.0247,-0.0200,0.0318
46106,0.0050,0.0151,1.0011,-0.0058,0.0105,-0.0292
46116,0.0048,0.0146,0.9977,-0.0058,0.0411,-0.0140
46126,0.0060,0.0134,0.9997,-0.0669,-0.0047,-0.0140
46136,0.0040,0.0131,1.0002,-0.0821,-0.0047,0.0318
46146,0.0053,0.0158,1.0016,0.1011,-0.0505,-0.0140
46156,0.0023,0.0129,1.0014,-0.0211,-0.0047,-0.0445
46166,0.0077,0.0129,1.0014,-0.0669,-0.0200,-0.0292
46176,0.0070,0.0153,0.9997,0.0095,-0.0658,-0.0140
46186,0.0048,0.0146,0.9934,-0.0058,-0.0505,0.0013
46196,0.0048,0.0153,0.9997,-0.0516,-0.0505,-0.0445
46206,0.0028,0.0141,1.0038,-0.0363,-0.0047,-0.0292
46216,0.0030,0.0126,0.9960,-0.0516,-0.0658,-0.0750
46226,0.0026,0.0126,0.9946,-0.0974,-0.0353,-0.0140
46236,0.0050,0.0175,0.9992,-0.0821,0.0258,-0.0140
46246,0.0006,0.0151,0.9977,-0.0211,0.0258,-0.0292
46256,-0.0016,0.0107,0.9999,-0.0211,-0.0200,0.0318
46266,0.0055,0.0143,0.9970,-0.0363,-0.0658,-0.0140
46276,0.0045,0.0138,0.9948,-0.0058,-0.0505,0.0166
46286,0.0018,0.0190,0.9987,0.0095,-0.0047,-0.0598
46296,0.0023,0.0182,0.9944,-0.0516,0.0258,-0.0140
46306,0.0045,0.0151,1.0055,0.0400,0.0716,0.0013
46316,0.0077,0.0153,0.9958,-0.0058,0.0716,-0.1208
46326,0.0082,0.0146,1.0055,0.0095,-0.0200,-0.0750
46336,0.0067,0.0121,0.9977,-0.0363,-0.0811,-0.0140
46346,0.0018,0.0116,0.9989,-0.0669,-0.0200,-0.0140
46356,0.0057,0.0129,0.9994,0.0400,0.0105,0.0166
46366,0.0070,0.0116,0.9997,0.0400,-0.0200,0.0318
46376,0.0050,0.0129,1.0016,-0.0058,-0.0963,0.0471
46386,0.0060,0.0121,1.0021,0.0247,0.0869,0.0166
46396,0.0050,0.0134,0.9997,-0.0058,0.0258,0.0318
46406,0.0050,0.0155,0.9994,-0.0211,0.0563,0.0471
46416,0.0050,0.0126,0.9944,-0.0363,0.0869,0.0929
46426,0.0067,0.0136,0.9936,0.0095,0.1021,0.0624
46436,0.0080,0.0175,0.9960,-0.0058,0.1174,-0.0292
46446,0.0057,0.0138,0.9975,0.0247,0.0563,-0.0140
46456,0.0038,0.0116,0.9987,-0.0211,0.0563,0.0166
46466,0.0067,0.0146,1.0031,0.0553,0.0258,-0.1056
46476,0.0043,0.0158,1.0043,-0.0821,0.0411,0.0318
46486,0.0062,0.0136,0.9987,-0.0669,-0.0200,0.0624
46496,0.0045,0.0134,0.9970,-0.0211,-0.0658,0.0929
46506,0.0045,0.0153,0.9980,-0.0516,-0.0353,-0.0445
46516,0.0048,0.0153,1.0004,-0.0211,0.0411,-0.0445
46526,0.0053,0.0104,0.9965,-0.0211,-0.0353,0.0318
46536,0.0040,0.0119,0.9987,-0.0058,-0.1116,-0.0140
46546,0.0038,0.0163,1.0014,0.0400,-0.0353,-0.0292
46556,0.0053,0.0148,0.9999,0.0095,0.0716,-0.0598
46566,0.0060,0.0175,0.9977,-0.0669,-0.0200,-0.0445
46576,0.0038,0.0170,0.9994,-0.0669,0.0105,0.0013
46586,0.0055,0.0136,0.9989,-0.0211,0.0411,0.0166
46596,0.0023,0.0138,0.9982,0.0095,-0.0047,0.0624
46606,0.0018,0.0107,0.9953,0.0095,0.0563,-0.0140
46616,0.0048,0.0138,0.9989,0.0858,-0.0047,0.0166
