timestamp_ms,ax,ay,az,gx,gy,gz
28716,0.0013,0.0180,0.9968,-0.0395,0.2658,-0.0365
28726,-0.0009,0.0187,0.9960,-0.0089,0.2658,-0.0670
28736,0.0011,0.0138,0.9922,-0.0395,0.3574,-0.1892
28746,-0.0038,0.0168,1.0011,-0.0089,0.5101,-0.2808
28756,-0.0102,0.0146,1.0035,-0.0089,0.6322,-0.5250
28766,-0.0166,0.0243,1.0067,-0.0700,0.6627,-0.7082
28776,-0.0207,0.0231,1.0002,-0.1311,0.3421,-0.5556
28786,0.0119,0.0216,0.9917,-0.1158,0.0826,-0.1586
28796,0.0165,0.0197,0.9963,-0.0700,0.3421,-0.0670
28806,-0.0041,0.0195,1.0033,-0.0853,0.7085,0.0246
28816,0.0043,0.0226,1.0016,-0.1311,0.6169,0.0551
28826,-0.0011,0.0219,0.9977,-0.1158,0.6475,-0.0670
28836,0.0030,0.0216,0.9968,-0.1005,0.8460,-0.0976
28846,-0.0068,0.0187,1.0009,-0.1616,1.0597,-0.0670
28856,0.0018,0.0229,0.9999,-0.1463,0.9834,-0.1128
28866,0.0033,0.0195,0.9960,-0.2074,0.9376,-0.0365
28876,0.0021,0.0180,1.0023,-0.1921,1.1971,-0.0060
28886,-0.0102,0.0148,0.9985,-0.2532,1.2887,0.0093
28896,-0.0063,0.0126,0.9929,-0.2379,1.3803,-0.0976
28906,-0.0097,0.0134,0.9946,-0.2685,1.7009,-0.2197
28916,-0.0043,0.0116,1.0055,-0.2074,1.8841,-0.3571
28926,0.0077,0.0148,0.9977,-0.1311,1.8841,-0.5250
28936,-0.0075,0.0209,1.0038,-0.1769,2.2963,-0.5250
28946,-0.0048,0.0229,0.9989,-0.2227,2.8918,-0.3876
28956,-0.0261,0.0155,1.0031,-0.4822,3.8841,-0.5556
28966,-0.0774,-0.0125,0.9869,-0.6654,4.9986,-0.7235
28976,-0.0436,-0.0089,0.9898,-0.5585,4.4643,-0.1281
28986,0.0021,0.0126,1.0052,-0.3906,3.8536,0.4521
28996,0.0151,0.0129,1.0006,-0.4211,4.4948,0.7269
29006,-0.0396,0.0019,1.0006,-0.4975,5.4414,0.7269
29016,-0.0229,0.0048,1.0091,-0.6044,5.9757,0.8337
29026,-0.0144,0.0114,1.0103,-0.5585,6.7391,0.7879
29036,-0.0274,0.0155,0.9914,-0.4822,7.2429,0.3605
29046,-0.0588,0.0153,0.9798,-0.3295,6.9376,-0.0212
29056,-0.0813,0.0046,0.9939,-0.1616,5.9147,-0.1739
29066,-0.0928,0.0187,0.9902,-0.0547,4.4948,-0.2808
29076,-0.0850,0.0048,0.9977,-0.0853,3.1055,-0.1586
29086,-0.0695,-0.0042,0.9881,-0.2837,2.1589,0.0704
29096,-0.0409,-0.0050,0.9869,-0.2227,1.5635,0.2231
29106,-0.0254,0.0307,1.0069,0.0216,1.5330,0.1315
29116,-0.0006,0.0256,1.0074,0.0521,1.4872,0.1009
29126,-0.0237,0.0180,0.9960,-0.1463,1.6551,-0.0365
29136,-0.0178,0.0085,1.0004,-0.0853,1.5788,-0.2044
29146,-0.0141,0.0116,0.9970,-0.1158,1.7315,-0.1128
29156,-0.0266,0.0202,0.9956,-0.1769,1.8231,0.0856
29166,-0.0149,0.0085,0.9977,-0.2685,1.4566,0.2078
29176,-0.0134,0.0080,1.0079,-0.4211,1.3650,0.2078
29186,-0.0239,0.0214,0.9941,-0.3601,0.9376,0.1467
29196,0.0109,0.0177,1.0009,-0.2685,0.6780,0.1315
29206,-0.0144,0.0165,0.9900,-0.1769,1.4414,0.3299
29216,-0.0215,0.0170,0.9953,-0.1158,1.4872,0.4063
29226,-0.0242,0.0302,0.9902,-0.0089,0.9223,0.5437
29236,-0.0041,0.0195,1.0016,-0.0242,0.8918,0.7269
29246,0.0048,0.0104,0.9907,-0.0700,0.9986,0.8185
29256,-0.0053,0.0131,1.0016,-0.0700,1.0750,0.7116
29266,-0.0195,0.0187,0.9997,-0.0242,1.0750,0.8795
29276,0.0210,0.0026,1.0016,-0.0853,0.9376,0.8032
29286,-0.0134,0.0275,0.9912,-0.0089,1.1513,0.7574
29296,-0.0136,0.0168,1.0045,-0.1616,1.2429,0.6963
29306,-0.0217,0.0287,1.0106,-0.2379,0.8002,0.6047
29316,-0.0009,0.0229,0.9922,-0.1463,0.5406,0.6353
29326,-0.0131,0.0148,1.0026,-0.2532,0.8460,0.5589
29336,-0.0283,0.0246,0.9960,-0.1769,1.2124,0.5284
29346,-0.0217,0.0226,1.0004,-0.1005,1.1666,0.5131
29356,0.0001,0.0204,0.9997,-0.0853,1.1208,0.6658
29366,-0.0198,0.0221,0.9931,-0.0395,1.0139,0.6811
29376,-0.0198,0.0236,1.0011,-0.1311,0.6322,0.6963
29386,-0.0060,0.0155,1.0011,-0.1769,0.3116,0.8032
29396,0.0111,0.0153,0.9960,-0.0700,-0.2075,0.9253
29406,-0.0073,0.0138,1.0055,-0.1311,0.1131,0.9406
29416,-0.0195,0.0241,1.0009,-0.0547,-0.1922,0.9559
29426,-0.0921,0.0338,0.9407,-0.1311,-1.7647,0.8032
29436,-0.0678,0.0029,0.9958,-0.3143,-6.5128,0.5895
29446,-0.0276,0.0011,1.0115,0.3727,-11.3373,0.4215
29456,0.0416,0.0019,1.0260,0.9987,-13.1388,0.6505
29466,0.0651,0.0234,1.0142,1.5178,-10.5739,0.9711
29476,0.0550,0.0197,1.0120,1.1361,-5.2915,1.1849
29486,-0.0068,0.0231,0.9885,0.5407,-1.1235,1.4139
29496,-0.0090,0.0112,0.9970,0.2353,-0.1922,1.4139
29506,-0.0016,0.0158,0.9883,0.1437,0.1437,1.3986
29516,-0.0269,0.0148,0.9948,0.1895,0.2505,1.4139
29526,0.0018,0.0168,1.0057,0.2811,-0.1922,1.3986
29536,0.0067,0.0236,0.9997,0.2353,-0.2075,1.4597
29546,-0.0124,0.0243,0.9982,0.0063,0.0215,1.4139
29556,-0.0301,0.0236,0.9784,0.0063,-0.3449,1.3986
29566,-0.0705,0.0185,0.9856,-0.1616,-2.8640,1.0475
29576,-0.0391,0.0097,1.0079,-0.0242,-5.9937,0.8795
29586,0.0129,0.0051,1.0340,0.4033,-7.1998,1.0627
29596,0.0381,0.0136,1.0108,0.9224,-4.9861,1.4597
29606,0.0362,0.0197,0.9859,0.9071,-2.2991,1.8108
29616,-0.0041,0.0204,1.0035,0.4644,-0.3296,1.9024
29626,-0.0087,0.0129,1.0043,0.2811,-0.1922,1.8566
29636,0.0097,0.0224,0.9866,0.3575,-0.2838,1.7498
29646,0.0102,0.0241,0.9912,0.3575,-0.3449,1.6429
29656,0.0330,0.0260,0.9936,0.2964,0.0215,1.4292
29666,0.0028,0.0241,1.0009,0.1437,0.1742,1.2460
