timestamp_ms,ax,ay,az,gx,gy,gz
23046,-0.0009,0.0134,1.0031,0.0524,0.0321,0.0764
23056,-0.0019,0.0129,1.0045,0.0830,-0.0290,-0.0152
23066,-0.0046,0.0177,0.9970,0.0066,-0.0595,-0.0610
23076,0.0004,0.0155,0.9982,0.0982,-0.0901,-0.0457
23086,-0.0023,0.0177,1.0009,0.0219,0.0473,0.0611
23096,0.0018,0.0185,0.9999,0.0524,0.0015,0.0917
23106,0.0008,0.0192,0.9999,-0.0239,0.0015,-0.0457
23116,0.0043,0.0195,0.9980,-0.0850,0.0473,-0.0152
23126,-0.0019,0.0134,0.9970,-0.0544,0.2153,0.0153
23136,-0.0041,0.0185,0.9989,0.0372,0.1695,0.0153
23146,-0.0058,0.0165,0.9977,-0.0544,0.0473,0.0153
23156,-0.0006,0.0112,0.9951,0.0524,-0.1053,-0.0305
23166,0.0006,0.0143,1.0023,0.0982,0.0015,0.0153
23176,-0.0028,0.0138,0.9946,0.0372,0.1084,-0.0152
23186,0.0013,0.0131,0.9992,0.0524,0.1237,0.0001
23196,0.0038,0.0173,0.9953,0.0677,0.1847,0.0611
23206,0.0023,0.0136,1.0006,0.0372,0.2763,0.0153
23216,-0.0004,0.0146,1.0026,0.0524,0.2763,-0.0152
23226,0.0011,0.0160,0.9977,0.1288,0.3069,0.0459
23236,0.0043,0.0153,0.9927,0.1288,0.3832,-0.0305
23246,-0.0019,0.0168,0.9931,0.1135,0.6122,0.0764
23256,-0.0001,0.0165,0.9999,0.0677,0.5359,0.0459
23266,-0.0068,0.0146,0.9980,-0.0086,0.2916,-0.0305
23276,-0.0058,0.0158,0.9987,-0.0392,0.1389,-0.0305
23286,0.0038,0.0126,0.9944,-0.0239,0.1389,-0.0915
23296,0.0013,0.0136,1.0004,-0.0544,0.3985,-0.0457
23306,-0.0065,0.0160,0.9977,0.0066,0.6122,-0.0152
23316,-0.0048,0.0146,1.0002,0.0372,0.6275,-0.0457
23326,-0.0001,0.0185,0.9960,-0.0392,0.5664,0.0459
23336,0.0065,0.0114,1.0038,0.0372,0.6733,0.1069
23346,0.0040,0.0168,0.9982,-0.0239,1.0092,0.0001
23356,0.0060,0.0190,1.0035,-0.0544,1.2687,0.1375
23366,-0.0026,0.0119,1.0023,0.0372,1.5282,0.3207
23376,-0.0036,0.0175,0.9994,0.1440,1.5282,0.6108
23386,0.0045,0.0287,0.9939,0.1746,1.3908,0.6718
23396,0.0094,0.0112,0.9994,0.1898,1.1924,0.3818
23406,-0.0050,0.0273,0.9881,0.2204,1.4824,0.4581
23416,0.0006,0.0180,1.0086,0.0524,1.3908,0.2444
23426,0.0573,0.0360,0.9740,0.0677,1.0092,-0.0305
23436,0.0033,0.0363,0.9801,0.0982,-1.0824,-1.2824
23446,0.0335,-0.0562,1.0161,0.0982,-2.0748,-1.4503
23456,0.0298,-0.0423,0.9953,0.3425,-0.4565,0.5955
23466,0.0798,-0.0320,1.0098,0.4036,1.1008,3.1756
23476,0.0320,0.0407,1.0004,0.6326,2.5206,6.5650
23486,0.1142,0.0212,0.9801,0.5105,4.1847,10.3054
23496,0.0970,-0.0028,1.0057,0.2815,5.4214,13.0840
23506,0.1068,-0.0076,0.9852,0.2967,6.3374,15.0077
23516,0.0997,-0.0191,0.9859,0.2509,6.3832,15.4047
23526,0.0523,-0.0052,0.9692,0.6326,5.7878,14.7787
23536,0.0445,0.0080,0.9781,0.6479,4.8107,13.7253
23546,0.0335,0.0263,1.0064,0.2815,3.1160,11.8016
23556,0.0614,-0.0042,0.9757,0.2051,1.6962,8.6108
23566,0.0499,-0.0213,0.9861,-0.0239,0.8107,6.2749
23576,0.1208,0.0124,1.0098,0.1135,0.6427,5.1146
23586,0.1144,0.0180,0.9980,0.2356,3.1924,3.8169
23596,0.0332,0.0070,0.9871,0.2051,3.9710,2.7634
23606,0.0872,0.0092,0.9963,0.1593,2.2153,2.0611
23616,0.1593,0.0033,1.0091,0.1898,1.0702,1.8474
23626,0.0251,0.0177,0.9716,0.5105,2.9176,0.8245
23636,0.0420,0.0048,0.9999,0.0982,2.5817,0.2749
23646,0.0766,-0.0076,0.9905,-0.0850,0.5206,-0.2137
23656,-0.0843,0.0160,1.2053,-0.0239,1.4672,0.2902
23666,-0.1819,0.2908,0.9390,1.3807,17.3145,0.2749
23676,-0.4343,0.2571,0.8998,-3.1231,40.0321,-2.0915
23686,-0.4266,-0.1431,0.9114,-6.5430,42.9939,-3.4808
23696,-0.3837,-0.0569,0.8420,-2.6651,30.1542,-1.9999
23706,-0.3224,-0.0250,0.9346,0.3120,10.3374,-1.1602
23716,-0.1603,0.0370,0.9791,1.8234,-5.2046,-0.9618
23726,0.0482,0.0016,1.0650,1.2433,-13.0519,-0.8854
23736,0.1235,0.0358,1.0280,1.0601,-10.0290,-1.2824
23746,0.0227,0.0141,1.0224,0.0524,-0.8840,-1.3434
23756,-0.0897,0.0058,0.9914,-0.1613,4.7191,-0.9618
23766,-0.1390,0.0031,0.9907,-0.1002,4.2458,-0.5190
23776,-0.1193,0.0026,0.9907,-0.2682,0.9786,-0.3663
23786,-0.0347,-0.0010,0.9956,0.0677,-1.7542,0.1069
23796,-0.0291,0.0055,1.0033,0.5410,-1.6779,0.2138
23806,-0.0494,0.0148,1.0132,0.6631,-0.7008,-0.0152
23816,-0.0561,0.0216,1.0173,0.3883,-0.5481,-0.1068
23826,-0.0367,0.0192,1.0018,0.0219,-0.3954,-0.3358
23836,-0.0600,0.0256,0.9948,0.2051,-0.0748,-0.3205
23846,-0.0489,0.0263,0.9987,0.3425,-0.5481,-0.1984
23856,-0.0190,0.0265,1.0048,0.2356,-1.1893,-0.1068
23866,-0.0232,0.0163,0.9992,-0.0086,-0.6855,-0.0610
23876,-0.0252,0.0177,0.9999,-0.0697,-0.3038,-0.0915
23886,-0.0215,0.0143,0.9965,0.0219,-0.3344,0.0764
23896,-0.0173,0.0138,0.9914,0.1440,-0.4718,0.0153
23906,-0.0046,0.0136,0.9994,-0.0086,-0.4870,-0.0610
23916,-0.0102,0.0121,0.9929,0.0066,-0.0748,-0.1068
23926,-0.0249,0.0153,0.9931,-0.0086,0.3069,-0.1526
23936,-0.0323,0.0141,0.9987,0.0066,0.1237,-0.0610
23946,-0.0225,0.0175,0.9939,-0.0392,0.0779,0.0153
23956,-0.0384,0.0180,0.9970,0.0066,0.2153,0.0917
23966,-0.0421,0.0136,1.0011,0.0372,0.3221,0.1069
23976,-0.0480,0.0148,0.9965,0.0830,0.2153,0.1375
23986,-0.0465,0.0119,1.0067,0.0830,0.0779,0.0917
23996,-0.0448,0.0119,0.9982,0.0524,0.0321,0.0153
24006,-0.0460,0.0136,0.9994,-0.0086,0.0015,-0.0152
24016,-0.0534,0.0185,1.0060,0.0066,-0.0748,-0.0915
24026,-0.0499,0.0265,0.9999,-0.0392,-0.3496,-0.1221
24036,-0.0367,0.0185,0.9977,-0.0392,-0.5939,-0.0915
