timestamp_ms,ax,ay,az,gx,gy,gz
27106,0.0053,0.0175,0.9992,-0.0289,-0.0047,-0.0469
27116,0.0080,0.0146,0.9977,0.0016,0.0105,-0.1232
27126,0.0075,0.0158,1.0028,-0.0900,-0.0505,-0.0011
27136,0.0035,0.0158,0.9970,-0.0137,0.0258,-0.0011
27146,0.0045,0.0204,0.9992,0.0169,-0.0505,-0.0469
27156,0.0070,0.0197,0.9965,-0.0289,-0.0200,-0.0163
27166,0.0099,0.0202,1.0033,0.0321,-0.0200,-0.1385
27176,0.0156,0.0192,1.0009,0.1085,0.0105,-0.3827
27186,0.0175,0.0177,0.9985,-0.1358,-0.0200,-0.7797
27196,-0.0126,0.0131,1.0016,-0.1053,0.0869,-0.9629
27206,-0.0122,0.0180,0.9956,-0.0442,0.0563,-0.7492
27216,0.0055,0.0170,1.0023,-0.0595,-0.0963,-0.4285
27226,0.0038,0.0192,1.0048,-0.0289,-0.0658,-0.3522
27236,0.0124,0.0146,0.9994,0.0169,-0.1727,-0.3980
27246,0.0183,0.0168,0.9980,0.0627,-0.1421,-0.4591
27256,0.0332,0.0216,0.9989,-0.0595,-0.1269,-0.7950
27266,0.0107,0.0126,0.9948,-0.0137,0.2395,-1.3904
27276,0.0055,0.0180,0.9980,0.1390,0.6365,-1.7568
27286,0.0084,0.0112,1.0014,-0.0137,0.7281,-1.8789
27296,0.0133,0.0109,0.9951,0.1237,1.0334,-2.0163
27306,0.0300,0.0212,0.9922,0.2001,1.3998,-2.2606
27316,0.0614,0.0229,1.0033,0.0016,2.0716,-3.0087
27326,0.0918,0.0319,1.0069,-0.1205,3.0334,-4.5507
27336,0.1328,0.0070,0.9830,-0.3801,4.1174,-7.2072
27346,0.1357,0.0475,1.0171,-0.6854,5.4151,-10.9782
27356,0.0362,0.0456,0.9953,-0.8992,8.8502,-15.6805
27366,0.0035,0.0368,1.0125,-1.3266,10.4838,-18.7186
27376,0.0013,0.0312,1.0067,-1.2198,10.8655,-19.9553
27386,0.0138,0.0321,0.9767,-1.2198,8.6365,-22.2453
27396,0.0472,0.0319,0.9898,-1.6320,7.8426,-25.2682
27406,0.0376,0.0409,1.0052,-1.4793,7.2166,-28.6118
27416,0.0180,0.0404,1.0062,-1.4182,6.4075,-31.5125
27426,0.0072,0.0229,0.9839,-1.3266,5.3388,-34.0316
27436,-0.0068,0.0382,0.9970,-1.5098,4.1479,-36.2606
27446,-0.0021,0.0265,0.9956,-1.7236,3.1250,-37.9095
27456,-0.0063,0.0036,0.9934,-1.9526,2.4533,-39.2835
27466,0.0089,-0.0030,1.0127,-1.9221,1.6136,-40.5354
27476,0.0089,0.0092,0.9847,-1.7083,0.9418,-42.0927
27486,0.0335,0.0009,0.9912,-1.8305,0.4533,-44.2301
27496,0.0313,-0.0081,1.0093,-1.9068,0.1632,-46.9171
27506,0.0413,-0.0245,0.9944,-1.7541,0.3464,-48.8408
27516,0.0428,-0.0108,0.9941,-1.8305,0.1327,-51.0392
27526,0.0298,-0.0225,1.0011,-2.0747,-0.4017,-53.4362
27536,0.0452,0.0031,1.0026,-2.1511,-0.5696,-55.3904
27546,0.0315,-0.0142,0.9893,-2.3801,-0.6765,-57.8179
27556,0.0263,-0.0057,1.0084,-2.5022,-1.0887,-60.4896
27566,0.0310,-0.0111,0.9784,-2.4564,-1.4093,-62.6881
27576,0.0102,-0.0355,1.0161,-2.7465,-1.8826,-64.8102
27586,0.0200,-0.0286,0.9941,-2.7923,-2.0505,-65.9858
27596,0.0077,-0.0306,0.9924,-2.6091,-2.2032,-66.7339
27606,0.0077,-0.0264,1.0040,-2.3953,-2.1879,-67.4820
27616,-0.0028,-0.0225,0.9873,-2.2885,-1.4246,-68.0163
27626,-0.0279,-0.0313,1.0064,-2.4411,-0.7681,-68.3370
27636,-0.0041,-0.0274,1.0035,-2.5785,-0.4475,-68.0316
27646,0.0087,-0.0337,1.0045,-2.7618,0.2090,-67.8637
27656,-0.0166,-0.0364,1.0120,-3.1282,1.3540,-67.8331
27666,-0.0524,-0.0411,1.0043,-3.0976,1.9189,-67.1614
27676,-0.0489,-0.0118,0.9690,-2.6702,2.3769,-65.4820
27686,-0.0566,-0.0172,0.9675,-2.6396,2.4380,-64.1079
27696,-0.1441,-0.0311,1.0478,-2.5480,2.2701,-62.0011
27706,-0.0615,-0.0059,0.9946,-2.2732,1.7663,-58.6881
27716,-0.0183,-0.0154,1.0110,-2.3801,0.1785,-57.6805
27726,-0.0266,-0.0259,1.0045,-2.2732,1.0182,-56.8866
27736,0.0465,-0.0211,1.0110,-2.4411,0.5449,-57.1461
27746,-0.0068,-0.0408,0.9820,-2.1969,0.0411,-59.1308
27756,-0.0171,-0.0328,1.0009,-2.4564,1.3540,-59.1308
27766,0.0082,-0.0320,0.9951,-2.2579,1.3082,-59.1003
27776,-0.0391,-0.0193,1.0064,-2.0747,1.8426,-59.1461
27786,-0.0529,-0.0142,0.9885,-2.0900,2.7128,-57.8789
27796,-0.0536,0.0036,1.0246,-2.4564,1.6594,-56.4286
27806,-0.0737,0.0136,0.9965,-2.3801,3.2166,-53.5889
27816,-0.0683,0.0070,0.9752,-2.0442,3.0945,-50.6270
27826,-0.0546,-0.0154,1.0091,-1.8610,1.8273,-47.2682
27836,-0.0455,0.0029,0.9999,-1.5556,1.8426,-43.8942
27846,-0.0036,-0.0123,1.0072,-1.7999,2.3159,-41.0545
27856,-0.0222,-0.0086,1.0154,-2.0289,3.3235,-39.6499
27866,-0.0688,0.0021,0.9888,-1.8305,4.7128,-38.5202
27876,-0.0806,-0.0010,0.9905,-1.8763,5.6747,-36.5049
27886,-0.0681,-0.0091,1.0098,-1.9221,5.5983,-33.8026
27896,-0.0521,-0.0091,1.0016,-1.7389,5.2930,-31.3598
27906,-0.0436,-0.0223,1.0060,-1.6931,5.3846,-28.9476
27916,-0.0455,-0.0147,0.9948,-1.5709,5.2319,-26.3675
27926,-0.0681,-0.0111,1.0081,-1.2961,5.4151,-23.4515
27936,-0.0862,0.0019,1.0043,-0.9450,5.0640,-20.1537
27946,-0.0691,-0.0018,0.9861,-0.9144,4.8808,-16.7950
27956,-0.0551,0.0031,1.0077,-0.8839,3.6899,-14.0011
27966,-0.0698,0.0077,0.9970,-0.6091,3.4762,-10.6576
27976,-0.1098,0.0082,1.0033,-0.3190,3.1556,-7.4820
27986,-0.1539,0.0207,0.9738,-0.0289,2.2853,-3.5278
