timestamp_ms,ax,ay,az,gx,gy,gz
56566,0.0013,0.0129,0.9956,-0.0734,0.0956,-0.0169
56576,0.0013,0.0158,0.9973,-0.1345,0.1109,-0.0016
56586,0.0045,0.0085,1.0021,-0.0887,0.1109,-0.0321
56596,-0.0019,0.0097,1.0040,-0.1040,0.0346,-0.0779
56606,-0.0011,0.0131,1.0021,-0.1956,0.0498,-0.0321
56616,0.0008,0.0114,1.0006,-0.1498,-0.1181,-0.1848
56626,-0.0418,-0.0176,1.0038,-0.2414,0.0498,-0.3985
56636,-0.0063,0.0353,0.9944,-0.2261,0.3705,-1.6047
56646,-0.0011,-0.0220,1.0108,-0.4856,-0.0418,-0.8718
56656,-0.0038,0.0046,0.9992,-0.0734,0.5995,-0.7955
56666,-0.0887,-0.0381,1.0091,-0.2261,0.8743,-0.9787
56676,-0.0399,-0.0118,0.9989,-0.4551,-1.4769,-1.9100
56686,-0.0107,-0.0213,1.0055,-0.7605,-2.3776,-2.8108
56696,-0.0516,-0.0189,1.0033,-0.6231,-2.0723,-3.7573
56706,-0.0843,-0.0086,0.9970,-0.5315,-1.4921,-3.8947
56716,-0.0504,-0.0098,0.9970,-0.7910,-1.9654,-3.4062
56726,-0.0193,0.0146,0.9960,-0.7605,-2.6219,-3.2382
56736,-0.0122,0.0226,0.9992,-0.9589,-2.5914,-3.4215
56746,-0.0254,0.0280,1.0048,-0.9131,-2.0265,-3.7573
56756,-0.0239,0.0265,0.9975,-0.8979,-2.0876,-3.9253
56766,-0.0745,0.0199,0.9443,-0.6536,0.0346,-3.9863
56776,-0.2540,0.0153,0.9929,-0.1040,4.3399,-4.9329
56786,-0.3352,0.0309,1.0033,0.4915,3.4239,-5.2382
56796,-0.2363,0.0343,0.9956,-0.7147,-1.5990,-2.8566
56806,-0.0875,0.0429,1.0018,-1.4627,-3.5837,0.0442
56816,-0.0222,0.0941,1.0214,-0.9437,-3.2784,1.7694
